	row_idx	variable	value
1	1	1	1
2	2	1	1
3	3	1	1
4	4	1	1
5	5	1	1
6	6	1	1
7	7	1	1
8	9	1	1
9	10	1	1
10	11	1	1
11	13	1	1
12	15	1	1
13	16	1	1
14	18	1	1
15	20	1	1
16	21	1	1
17	24	1	1
18	26	1	1
19	28	1	1
20	29	1	1
21	30	1	1
22	35	1	1
23	38	1	1
24	40	1	1
25	41	1	1
26	44	1	1
27	45	1	1
28	46	1	1
29	53	1	1
30	54	1	1
31	55	1	1
32	57	1	1
33	58	1	1
34	61	1	1
35	62	1	1
36	63	1	1
37	66	1	1
38	67	1	1
39	69	1	1
40	70	1	1
41	77	1	1
42	79	1	1
43	83	1	1
44	86	1	1
45	87	1	1
46	88	1	1
47	89	1	1
48	90	1	1
49	91	1	1
50	94	1	1
51	95	1	1
52	98	1	1
53	100	1	1
54	101	1	1
55	102	1	1
56	103	1	1
57	105	1	1
58	108	1	1
59	109	1	1
60	116	1	1
61	117	1	1
62	118	1	1
63	119	1	1
64	121	1	1
65	122	1	1
66	123	1	1
67	124	1	1
68	126	1	1
69	128	1	1
70	133	1	1
71	134	1	1
72	135	1	1
73	137	1	1
74	138	1	1
75	141	1	1
76	142	1	1
77	143	1	1
78	145	1	1
79	147	1	1
80	148	1	1
81	149	1	1
82	150	1	1
83	154	1	1
84	155	1	1
85	157	1	1
86	159	1	1
87	161	1	1
88	162	1	1
89	164	1	1
90	165	1	1
91	166	1	1
92	168	1	1
93	169	1	1
94	170	1	1
95	175	1	1
96	176	1	1
97	179	1	1
98	180	1	1
99	181	1	1
100	182	1	1
101	185	1	1
102	186	1	1
103	189	1	1
104	190	1	1
105	191	1	1
106	194	1	1
107	196	1	1
108	197	1	1
109	200	1	1
110	201	1	1
111	204	1	1
112	205	1	1
113	206	1	1
114	207	1	1
115	208	1	1
116	209	1	1
117	210	1	1
118	211	1	1
119	219	1	1
120	221	1	1
121	223	1	1
122	225	1	1
123	226	1	1
124	227	1	1
125	228	1	1
126	229	1	1
127	232	1	1
128	233	1	1
129	234	1	1
130	235	1	1
131	238	1	1
132	239	1	1
133	240	1	1
134	241	1	1
135	243	1	1
136	244	1	1
137	245	1	1
138	246	1	1
139	248	1	1
140	252	1	1
141	256	1	1
142	260	1	1
143	262	1	1
144	263	1	1
145	266	1	1
146	268	1	1
147	269	1	1
148	270	1	1
149	272	1	1
150	274	1	1
151	275	1	1
152	276	1	1
153	278	1	1
154	279	1	1
155	281	1	1
156	283	1	1
157	284	1	1
158	285	1	1
159	286	1	1
160	288	1	1
161	290	1	1
162	291	1	1
163	293	1	1
164	295	1	1
165	296	1	1
166	301	1	1
167	302	1	1
168	303	1	1
169	305	1	1
170	306	1	1
171	309	1	1
172	310	1	1
173	313	1	1
174	314	1	1
175	315	1	1
176	316	1	1
177	320	1	1
178	323	1	1
179	326	1	1
180	327	1	1
181	328	1	1
182	331	1	1
183	334	1	1
184	335	1	1
185	337	1	1
186	341	1	1
187	342	1	1
188	343	1	1
189	344	1	1
190	345	1	1
191	347	1	1
192	348	1	1
193	352	1	1
194	353	1	1
195	355	1	1
196	356	1	1
197	358	1	1
198	359	1	1
199	362	1	1
200	364	1	1
201	365	1	1
202	366	1	1
203	367	1	1
204	368	1	1
205	369	1	1
206	370	1	1
207	372	1	1
208	375	1	1
209	377	1	1
210	378	1	1
211	379	1	1
212	380	1	1
213	381	1	1
214	382	1	1
215	384	1	1
216	385	1	1
217	389	1	1
218	390	1	1
219	392	1	1
220	396	1	1
221	398	1	1
222	401	1	1
223	402	1	1
224	403	1	1
225	405	1	1
226	406	1	1
227	408	1	1
228	409	1	1
229	413	1	1
230	418	1	1
231	419	1	1
232	425	1	1
233	427	1	1
234	429	1	1
235	432	1	1
236	434	1	1
237	435	1	1
238	438	1	1
239	439	1	1
240	442	1	1
241	443	1	1
242	445	1	1
243	446	1	1
244	447	1	1
245	451	1	1
246	453	1	1
247	454	1	1
248	455	1	1
249	457	1	1
250	459	1	1
251	464	1	1
252	466	1	1
253	470	1	1
254	475	1	1
255	476	1	1
256	478	1	1
257	482	1	1
258	483	1	1
259	485	1	1
260	487	1	1
261	491	1	1
262	492	1	1
263	493	1	1
264	497	1	1
265	501	1	1
266	502	1	1
267	503	1	1
268	504	1	1
269	509	1	1
270	510	1	1
271	511	1	1
272	516	1	1
273	517	1	1
274	522	1	1
275	524	1	1
276	525	1	1
277	526	1	1
278	528	1	1
279	529	1	1
280	531	1	1
281	533	1	1
282	535	1	1
283	537	1	1
284	538	1	1
285	539	1	1
286	540	1	1
287	541	1	1
288	542	1	1
289	543	1	1
290	544	1	1
291	547	1	1
292	549	1	1
293	550	1	1
294	551	1	1
295	553	1	1
296	554	1	1
297	555	1	1
298	558	1	1
299	559	1	1
300	561	1	1
301	562	1	1
302	565	1	1
303	566	1	1
304	568	1	1
305	570	1	1
306	571	1	1
307	574	1	1
308	577	1	1
309	580	1	1
310	581	1	1
311	582	1	1
312	584	1	1
313	586	1	1
314	587	1	1
315	590	1	1
316	598	1	1
317	601	1	1
318	603	1	1
319	605	1	1
320	606	1	1
321	609	1	1
322	612	1	1
323	614	1	1
