	drug	protein	value
0	0	327	1
1	1	417	1
2	1	431	1
3	1	432	1
4	1	459	1
5	1	475	1
6	1	476	1
7	2	319	1
8	3	329	1
9	3	379	1
10	3	388	1
11	3	416	1
12	3	460	1
13	3	461	1
14	3	462	1
15	3	478	1
16	3	479	1
17	3	480	1
18	3	481	1
19	3	482	1
20	4	404	1
21	4	419	1
22	4	456	1
23	4	457	1
24	5	319	1
25	5	371	1
26	5	381	1
27	5	389	1
28	5	402	1
29	5	419	1
30	5	422	1
31	6	336	1
32	7	311	1
33	7	382	1
34	8	319	1
35	8	395	1
36	9	470	1
37	9	471	1
38	10	322	1
39	10	331	1
40	10	342	1
41	10	366	1
42	10	407	1
43	11	397	1
44	12	351	1
45	12	377	1
46	12	405	1
47	12	406	1
48	12	427	1
49	13	343	1
50	13	413	1
51	14	387	1
52	14	393	1
53	14	423	1
54	14	426	1
55	15	329	1
56	15	379	1
57	15	388	1
58	15	416	1
59	15	426	1
60	15	460	1
61	15	461	1
62	15	462	1
63	15	478	1
64	15	479	1
65	15	480	1
66	15	482	1
67	16	355	1
68	17	314	1
69	17	319	1
70	17	325	1
71	17	332	1
72	17	347	1
73	17	350	1
74	17	351	1
75	17	352	1
76	17	362	1
77	17	365	1
78	17	375	1
79	17	385	1
80	17	389	1
81	17	395	1
82	17	396	1
83	17	397	1
84	17	398	1
85	17	405	1
86	17	406	1
87	17	420	1
88	17	427	1
89	17	440	1
90	18	351	1
91	18	363	1
92	18	389	1
93	18	405	1
94	19	314	1
95	19	332	1
96	19	350	1
97	19	351	1
98	19	357	1
99	19	362	1
100	19	363	1
101	19	375	1
102	19	389	1
103	19	396	1
104	19	398	1
105	19	405	1
106	19	406	1
107	19	427	1
108	20	410	1
109	21	314	1
110	21	332	1
111	21	350	1
112	21	351	1
113	21	357	1
114	21	362	1
115	21	363	1
116	21	375	1
117	21	396	1
118	21	398	1
119	21	406	1
120	21	420	1
121	21	427	1
122	22	353	1
123	22	391	1
124	23	311	1
125	23	345	1
126	23	382	1
127	23	439	1
128	23	448	1
129	24	319	1
130	24	325	1
131	24	340	1
132	24	395	1
133	24	484	1
134	25	337	1
135	25	340	1
136	26	430	1
137	27	381	1
138	27	404	1
139	28	425	1
140	29	419	1
141	30	396	1
142	31	371	1
143	31	422	1
144	32	337	1
145	33	366	1
146	33	412	1
147	34	324	1
148	34	334	1
149	34	413	1
150	35	379	1
151	35	426	1
152	35	428	1
153	35	429	1
154	35	431	1
155	35	459	1
156	36	351	1
157	36	377	1
158	36	406	1
159	37	349	1
160	38	371	1
161	38	422	1
162	39	363	1
163	39	406	1
164	39	427	1
165	40	319	1
166	40	325	1
167	40	347	1
168	40	351	1
169	40	365	1
170	40	371	1
171	40	375	1
172	40	381	1
173	40	385	1
174	40	395	1
175	40	400	1
176	40	414	1
177	40	419	1
178	40	423	1
179	40	437	1
180	40	445	1
181	40	483	1
182	40	484	1
183	41	371	1
184	41	422	1
185	42	313	1
186	42	344	1
187	42	349	1
188	43	371	1
189	43	402	1
190	44	314	1
191	44	319	1
192	44	325	1
193	44	332	1
194	44	347	1
195	44	350	1
196	44	351	1
197	44	352	1
198	44	357	1
199	44	362	1
200	44	365	1
201	44	375	1
202	44	385	1
203	44	389	1
204	44	396	1
205	44	397	1
206	44	398	1
207	44	405	1
208	44	406	1
209	44	420	1
210	44	427	1
211	44	440	1
212	45	381	1
213	46	385	1
214	46	414	1
215	47	329	1
216	47	379	1
217	47	388	1
218	47	426	1
219	47	460	1
220	47	461	1
221	47	462	1
222	47	479	1
223	47	480	1
224	47	481	1
225	47	482	1
226	48	403	1
227	49	394	1
228	50	314	1
229	50	319	1
230	50	347	1
231	50	350	1
232	50	351	1
233	50	352	1
234	50	357	1
235	50	362	1
236	50	365	1
237	50	375	1
238	50	385	1
239	50	389	1
240	50	395	1
241	50	396	1
242	50	397	1
243	50	398	1
244	50	405	1
245	50	406	1
246	50	408	1
247	50	420	1
248	50	427	1
249	50	440	1
250	51	328	1
251	51	330	1
252	52	336	1
253	52	350	1
254	52	357	1
255	52	385	1
256	52	396	1
257	52	397	1
258	52	414	1
259	52	443	1
260	53	350	1
261	53	352	1
262	53	389	1
263	53	400	1
264	54	388	1
265	54	426	1
266	55	410	1
267	56	378	1
268	57	319	1
269	57	325	1
270	57	347	1
271	57	365	1
272	58	340	1
273	59	374	1
274	59	458	1
275	59	464	1
276	59	468	1
277	60	373	1
278	61	316	1
279	61	383	1
280	61	384	1
281	62	385	1
282	62	414	1
283	63	374	1
284	63	463	1
285	63	464	1
286	63	465	1
287	63	466	1
288	63	467	1
289	63	468	1
290	63	486	1
291	64	394	1
292	64	409	1
293	65	315	1
294	65	333	1
295	65	361	1
296	65	376	1
297	66	374	1
298	66	464	1
299	66	468	1
300	67	329	1
301	67	379	1
302	67	388	1
303	67	426	1
304	67	460	1
305	67	461	1
306	67	462	1
307	67	478	1
308	67	479	1
309	67	480	1
310	67	481	1
311	67	482	1
312	68	314	1
313	68	375	1
314	68	420	1
315	69	325	1
316	69	395	1
317	70	314	1
318	70	350	1
319	70	351	1
320	70	357	1
321	70	362	1
322	70	363	1
323	70	375	1
324	70	389	1
325	70	396	1
326	70	398	1
327	70	406	1
328	70	420	1
329	70	427	1
330	71	379	1
331	71	388	1
332	71	426	1
333	71	429	1
334	71	431	1
335	71	459	1
336	72	409	1
337	73	404	1
338	73	419	1
339	74	426	1
340	75	418	1
341	76	319	1
342	76	325	1
343	76	375	1
344	76	395	1
345	77	356	1
346	78	354	1
347	79	385	1
348	79	410	1
349	79	455	1
350	80	385	1
351	81	360	1
352	81	364	1
353	81	368	1
354	82	385	1
355	82	397	1
356	82	414	1
357	83	325	1
358	83	347	1
359	83	365	1
360	83	375	1
361	83	381	1
362	83	385	1
363	83	395	1
364	83	414	1
365	83	419	1
366	83	483	1
367	83	484	1
368	84	331	1
369	84	342	1
370	84	366	1
371	84	407	1
372	84	412	1
373	85	349	1
374	86	349	1
375	87	329	1
376	87	379	1
377	87	388	1
378	87	426	1
379	87	460	1
380	87	461	1
381	87	462	1
382	87	478	1
383	87	479	1
384	87	480	1
385	87	481	1
386	88	381	1
387	88	404	1
388	89	314	1
389	89	351	1
390	89	375	1
391	89	397	1
392	89	420	1
393	90	424	1
394	91	350	1
395	91	396	1
396	92	336	1
397	92	410	1
398	93	351	1
399	94	436	1
400	95	319	1
401	95	325	1
402	95	365	1
403	95	395	1
404	96	371	1
405	96	400	1
406	97	486	1
407	98	349	1
408	99	314	1
409	99	368	1
410	99	398	1
411	99	420	1
412	100	336	1
413	101	421	1
414	102	319	1
415	102	325	1
416	102	347	1
417	102	351	1
418	102	365	1
419	102	381	1
420	102	385	1
421	102	395	1
422	102	414	1
423	102	419	1
424	103	314	1
425	103	325	1
426	103	350	1
427	103	381	1
428	103	385	1
429	103	419	1
430	103	426	1
431	104	349	1
432	105	474	1
433	106	336	1
434	106	351	1
435	106	410	1
436	106	427	1
437	107	319	1
438	107	325	1
439	107	347	1
440	107	395	1
441	108	349	1
442	109	350	1
443	109	396	1
444	110	313	1
445	110	348	1
446	110	349	1
447	110	358	1
448	110	451	1
449	110	454	1
450	111	385	1
451	111	397	1
452	111	414	1
453	112	316	1
454	112	339	1
455	112	383	1
456	112	384	1
457	113	385	1
458	113	397	1
459	113	410	1
460	114	394	1
461	115	313	1
462	115	442	1
463	115	447	1
464	116	371	1
465	116	422	1
466	117	336	1
467	118	312	1
468	118	341	1
469	118	376	1
470	118	434	1
471	118	445	1
472	119	325	1
473	119	347	1
474	119	365	1
475	119	369	1
476	119	374	1
477	119	385	1
478	119	395	1
479	119	397	1
480	119	414	1
481	119	463	1
482	119	468	1
483	119	472	1
484	120	314	1
485	120	420	1
486	121	392	1
487	122	311	1
488	122	345	1
489	123	354	1
490	124	422	1
491	125	351	1
492	125	375	1
493	125	385	1
494	125	389	1
495	125	419	1
496	126	324	1
497	126	340	1
498	126	359	1
499	126	374	1
500	126	380	1
501	126	413	1
502	126	419	1
503	126	458	1
504	126	463	1
505	126	465	1
506	126	466	1
507	126	467	1
508	126	468	1
509	127	336	1
510	127	350	1
511	127	385	1
512	127	396	1
513	127	397	1
514	127	414	1
515	128	351	1
516	128	377	1
517	128	406	1
518	129	373	1
519	129	417	1
520	129	432	1
521	129	455	1
522	129	459	1
523	129	475	1
524	129	476	1
525	129	477	1
526	130	424	1
527	131	314	1
528	131	375	1
529	131	385	1
530	131	397	1
531	131	420	1
532	132	379	1
533	132	388	1
534	132	426	1
535	132	460	1
536	132	461	1
537	132	462	1
538	132	478	1
539	132	479	1
540	132	480	1
541	132	481	1
542	132	482	1
543	133	409	1
544	133	425	1
545	134	329	1
546	134	379	1
547	134	388	1
548	134	426	1
549	134	460	1
550	134	461	1
551	134	462	1
552	134	478	1
553	134	480	1
554	134	481	1
555	134	482	1
556	135	385	1
557	136	353	1
558	137	350	1
559	137	375	1
560	137	381	1
561	137	385	1
562	137	396	1
563	137	406	1
564	137	414	1
565	137	420	1
566	137	427	1
567	138	357	1
568	138	396	1
569	139	353	1
570	140	371	1
571	140	422	1
572	141	385	1
573	141	397	1
574	142	400	1
575	142	422	1
576	143	313	1
577	144	314	1
578	144	332	1
579	144	350	1
580	144	351	1
581	144	357	1
582	144	362	1
583	144	363	1
584	144	375	1
585	144	389	1
586	144	396	1
587	144	398	1
588	144	406	1
589	144	420	1
590	144	427	1
591	145	319	1
592	145	325	1
593	145	347	1
594	145	365	1
595	145	375	1
596	145	381	1
597	145	395	1
598	146	337	1
599	146	352	1
600	146	404	1
601	146	417	1
602	147	352	1
603	147	395	1
604	148	344	1
605	149	373	1
606	150	350	1
607	150	351	1
608	150	357	1
609	150	362	1
610	150	375	1
611	150	385	1
612	150	389	1
613	150	396	1
614	150	397	1
615	150	398	1
616	150	406	1
617	150	420	1
618	151	318	1
619	152	404	1
620	153	313	1
621	153	349	1
622	154	326	1
623	154	375	1
624	154	385	1
625	154	405	1
626	155	401	1
627	155	423	1
628	155	426	1
629	156	456	1
630	157	424	1
631	157	441	1
632	158	313	1
633	159	313	1
634	160	379	1
635	160	388	1
636	160	426	1
637	160	428	1
638	160	431	1
639	160	459	1
640	161	313	1
641	161	318	1
642	161	344	1
643	161	349	1
644	161	449	1
645	162	331	1
646	162	342	1
647	162	407	1
648	163	332	1
649	163	350	1
650	163	357	1
651	163	396	1
652	164	395	1
653	165	311	1
654	165	338	1
655	165	439	1
656	165	448	1
657	166	319	1
658	166	325	1
659	166	395	1
660	167	325	1
661	168	371	1
662	168	422	1
663	169	349	1
664	170	453	1
665	170	454	1
666	170	461	1
667	171	353	1
668	171	485	1
669	172	329	1
670	172	388	1
671	172	416	1
672	172	426	1
673	172	460	1
674	172	461	1
675	172	462	1
676	172	478	1
677	172	479	1
678	172	480	1
679	172	481	1
680	173	369	1
681	173	408	1
682	173	420	1
683	173	444	1
684	174	394	1
685	175	319	1
686	175	325	1
687	175	347	1
688	175	365	1
689	176	369	1
690	176	371	1
691	176	400	1
692	176	422	1
693	177	336	1
694	178	379	1
695	178	388	1
696	178	426	1
697	178	460	1
698	178	461	1
699	178	462	1
700	178	478	1
701	178	479	1
702	178	480	1
703	178	481	1
704	178	482	1
705	179	373	1
706	180	400	1
707	180	422	1
708	181	369	1
709	181	420	1
710	182	349	1
711	183	338	1
712	183	470	1
713	184	391	1
714	185	313	1
715	186	329	1
716	186	379	1
717	186	388	1
718	186	416	1
719	186	426	1
720	186	460	1
721	186	461	1
722	186	462	1
723	186	478	1
724	186	479	1
725	186	481	1
726	186	482	1
727	187	402	1
728	187	426	1
729	188	371	1
730	188	422	1
731	189	415	1
732	190	323	1
733	190	352	1
734	190	422	1
735	190	427	1
736	191	325	1
737	191	337	1
738	191	340	1
