	drug	protein	value
0	0	416	1
1	1	433	1
2	1	441	1
3	1	509	1
4	1	559	1
5	1	593	1
6	2	679	1
7	3	392	1
8	4	544	1
9	4	575	1
10	4	576	1
11	4	723	1
12	4	724	1
13	4	725	1
14	5	387	1
15	6	394	1
16	6	486	1
17	6	543	1
18	6	562	1
19	6	682	1
20	6	683	1
21	6	684	1
22	6	726	1
23	6	727	1
24	6	728	1
25	6	729	1
26	6	730	1
27	7	482	1
28	7	685	1
29	7	686	1
30	7	687	1
31	8	488	1
32	8	524	1
33	8	550	1
34	8	675	1
35	9	377	1
36	9	469	1
37	9	488	1
38	9	500	1
39	9	518	1
40	9	550	1
41	9	555	1
42	10	533	1
43	11	420	1
44	11	425	1
45	11	669	1
46	11	749	1
47	12	594	1
48	13	443	1
49	13	479	1
50	13	542	1
51	13	553	1
52	13	557	1
53	14	366	1
54	14	545	1
55	14	596	1
56	15	377	1
57	15	508	1
58	16	712	1
59	16	713	1
60	17	642	1
61	18	384	1
62	18	401	1
63	18	418	1
64	18	527	1
65	18	536	1
66	19	493	1
67	20	439	1
68	20	461	1
69	20	481	1
70	20	525	1
71	20	526	1
72	21	419	1
73	21	523	1
74	22	497	1
75	22	694	1
76	23	495	1
77	23	521	1
78	23	558	1
79	23	562	1
80	24	394	1
81	24	486	1
82	24	499	1
83	24	543	1
84	24	562	1
85	24	682	1
86	24	683	1
87	24	726	1
88	24	727	1
89	24	728	1
90	24	729	1
91	24	730	1
92	25	431	1
93	25	446	1
94	25	504	1
95	25	702	1
96	25	735	1
97	25	736	1
98	25	737	1
99	25	739	1
100	26	369	1
101	26	377	1
102	26	387	1
103	26	402	1
104	26	429	1
105	26	438	1
106	26	439	1
107	26	442	1
108	26	449	1
109	26	460	1
110	26	476	1
111	26	493	1
112	26	500	1
113	26	508	1
114	26	510	1
115	26	512	1
116	26	513	1
117	26	525	1
118	26	526	1
119	26	552	1
120	26	563	1
121	26	598	1
122	27	439	1
123	27	461	1
124	27	476	1
125	27	525	1
126	28	369	1
127	28	402	1
128	28	438	1
129	28	449	1
130	28	460	1
131	28	461	1
132	28	476	1
133	28	500	1
134	28	510	1
135	28	513	1
136	28	525	1
137	28	526	1
138	28	552	1
139	28	563	1
140	29	533	1
141	30	369	1
142	30	402	1
143	30	438	1
144	30	439	1
145	30	449	1
146	30	460	1
147	30	461	1
148	30	500	1
149	30	510	1
150	30	513	1
151	30	526	1
152	30	552	1
153	30	563	1
154	31	444	1
155	31	452	1
156	31	562	1
157	32	386	1
158	33	366	1
159	33	413	1
160	33	426	1
161	33	596	1
162	33	643	1
163	34	377	1
164	34	387	1
165	34	415	1
166	34	732	1
167	34	733	1
168	35	411	1
169	35	554	1
170	36	569	1
171	36	582	1
172	36	704	1
173	37	524	1
174	37	550	1
175	38	470	1
176	39	488	1
177	40	562	1
178	41	469	1
179	41	518	1
180	42	411	1
181	43	464	1
182	43	536	1
183	44	405	1
184	44	473	1
185	44	537	1
186	45	486	1
187	45	499	1
188	45	566	1
189	45	567	1
190	45	575	1
191	45	680	1
192	46	432	1
193	47	481	1
194	47	526	1
195	47	563	1
196	48	435	1
197	49	469	1
198	49	555	1
199	50	438	1
200	50	526	1
201	50	563	1
202	51	387	1
203	51	429	1
204	51	438	1
205	51	439	1
206	51	463	1
207	51	469	1
208	51	476	1
209	51	488	1
210	51	493	1
211	51	508	1
212	51	518	1
213	51	538	1
214	51	550	1
215	51	558	1
216	51	592	1
217	51	622	1
218	51	732	1
219	51	733	1
220	51	734	1
221	52	469	1
222	52	518	1
223	53	420	1
224	53	435	1
225	53	605	1
226	53	663	1
227	54	469	1
228	54	522	1
229	55	369	1
230	55	377	1
231	55	387	1
232	55	402	1
233	55	429	1
234	55	438	1
235	55	439	1
236	55	442	1
237	55	449	1
238	55	463	1
239	55	476	1
240	55	493	1
241	55	500	1
242	55	508	1
243	55	510	1
244	55	512	1
245	55	513	1
246	55	525	1
247	55	526	1
248	55	552	1
249	55	563	1
250	55	598	1
251	56	534	1
252	57	550	1
253	58	512	1
254	58	538	1
255	59	394	1
256	59	486	1
257	59	499	1
258	59	562	1
259	59	683	1
260	59	684	1
261	59	726	1
262	59	727	1
263	59	728	1
264	59	729	1
265	59	730	1
266	60	523	1
267	61	561	1
268	62	710	1
269	63	395	1
270	64	369	1
271	64	377	1
272	64	403	1
273	64	429	1
274	64	438	1
275	64	439	1
276	64	442	1
277	64	449	1
278	64	460	1
279	64	463	1
280	64	476	1
281	64	493	1
282	64	500	1
283	64	508	1
284	64	510	1
285	64	512	1
286	64	513	1
287	64	525	1
288	64	526	1
289	64	528	1
290	64	552	1
291	64	563	1
292	64	598	1
293	65	503	1
294	65	616	1
295	65	671	1
296	65	672	1
297	66	396	1
298	66	507	1
299	67	410	1
300	67	438	1
301	67	449	1
302	67	510	1
303	67	512	1
304	67	533	1
305	67	538	1
306	67	615	1
307	68	442	1
308	68	476	1
309	68	500	1
310	68	518	1
311	69	499	1
312	69	562	1
313	70	533	1
314	71	389	1
315	71	613	1
316	72	377	1
317	72	429	1
318	72	463	1
319	72	508	1
320	73	415	1
321	74	473	1
322	74	678	1
323	74	689	1
324	74	693	1
325	75	471	1
