	protein	disease	value
0	0	177	1
1	0	178	1
2	0	179	1
3	0	180	1
4	0	181	1
5	0	182	1
6	0	183	1
7	0	184	1
8	0	185	1
9	0	186	1
10	0	187	1
11	0	188	1
12	0	189	1
13	0	190	1
14	0	191	1
15	0	192	1
16	0	193	1
17	0	194	1
18	0	195	1
19	0	196	1
20	0	197	1
21	0	198	1
22	0	199	1
23	0	200	1
24	0	201	1
25	0	202	1
26	0	203	1
27	0	204	1
28	0	205	1
29	0	206	1
30	0	207	1
31	0	208	1
32	0	209	1
33	0	210	1
34	0	211	1
35	0	212	1
36	0	213	1
37	0	214	1
38	0	215	1
39	0	216	1
40	0	217	1
41	0	218	1
42	0	219	1
43	0	220	1
44	0	221	1
45	0	222	1
46	0	223	1
47	0	224	1
48	0	225	1
49	0	226	1
50	0	227	1
51	0	228	1
52	0	229	1
53	0	230	1
54	0	231	1
55	0	232	1
56	0	233	1
57	0	234	1
58	0	235	1
59	0	236	1
60	0	237	1
61	0	238	1
62	0	239	1
63	0	240	1
64	0	241	1
65	0	242	1
66	0	243	1
67	0	244	1
68	0	245	1
69	0	246	1
70	0	247	1
71	0	248	1
72	0	249	1
73	0	250	1
74	0	251	1
75	0	252	1
76	0	253	1
77	0	254	1
78	0	255	1
79	0	256	1
80	0	257	1
81	0	258	1
82	0	259	1
83	0	260	1
84	0	261	1
85	0	262	1
86	0	263	1
87	0	264	1
88	0	265	1
89	0	266	1
90	0	267	1
91	0	268	1
92	0	269	1
93	0	270	1
94	0	271	1
95	0	272	1
96	0	273	1
97	0	274	1
98	0	275	1
99	0	276	1
100	0	277	1
101	0	278	1
102	0	279	1
103	0	280	1
104	0	281	1
105	0	282	1
106	0	283	1
107	0	284	1
108	0	285	1
109	0	286	1
110	0	287	1
111	0	288	1
112	0	289	1
113	0	290	1
114	0	291	1
115	0	292	1
116	0	293	1
117	0	294	1
118	0	295	1
119	0	296	1
120	0	297	1
121	0	298	1
122	0	299	1
123	0	300	1
124	0	301	1
125	0	302	1
126	0	303	1
127	0	304	1
128	0	305	1
129	0	306	1
130	0	307	1
131	0	308	1
132	0	309	1
133	0	310	1
134	0	311	1
135	0	312	1
136	0	313	1
137	0	314	1
138	0	315	1
139	0	316	1
140	0	317	1
141	0	318	1
142	0	319	1
143	0	320	1
144	0	321	1
145	0	322	1
146	0	323	1
147	0	324	1
148	0	325	1
149	0	326	1
150	0	327	1
151	0	328	1
152	0	329	1
153	0	330	1
154	0	331	1
155	0	332	1
156	0	333	1
157	0	334	1
158	0	335	1
159	0	336	1
160	0	337	1
161	0	338	1
162	0	339	1
163	0	340	1
164	0	341	1
165	0	342	1
166	0	343	1
167	0	344	1
168	0	345	1
169	0	346	1
170	0	347	1
171	0	348	1
172	0	349	1
173	0	350	1
174	0	351	1
175	0	352	1
176	0	353	1
177	0	354	1
178	0	355	1
179	0	356	1
180	0	357	1
181	0	358	1
182	0	359	1
183	0	360	1
184	0	361	1
185	0	362	1
186	0	363	1
187	0	364	1
188	0	365	1
189	0	366	1
190	0	367	1
191	0	368	1
192	0	369	1
193	0	370	1
194	0	371	1
195	0	372	1
196	0	373	1
197	0	374	1
198	0	375	1
199	0	376	1
200	0	377	1
201	0	378	1
202	0	379	1
203	0	380	1
204	0	381	1
205	0	382	1
206	0	383	1
207	0	384	1
208	0	385	1
209	0	386	1
210	0	387	1
211	0	388	1
212	0	389	1
213	0	390	1
214	0	391	1
215	0	392	1
216	0	393	1
217	0	394	1
218	0	395	1
219	0	396	1
220	0	397	1
221	0	398	1
222	0	399	1
223	0	400	1
224	0	401	1
225	0	402	1
226	0	403	1
227	0	404	1
228	0	405	1
229	0	406	1
230	0	407	1
231	0	408	1
232	0	409	1
233	0	410	1
234	0	411	1
235	0	412	1
236	0	413	1
237	0	414	1
238	0	415	1
239	0	416	1
240	0	417	1
241	0	418	1
242	0	419	1
243	0	420	1
244	0	421	1
245	0	422	1
246	0	423	1
247	0	424	1
248	0	425	1
249	0	426	1
250	0	427	1
251	0	428	1
252	0	429	1
253	0	430	1
254	0	431	1
255	0	432	1
256	0	433	1
257	0	434	1
258	0	435	1
259	0	436	1
260	0	437	1
261	0	438	1
262	0	439	1
263	0	440	1
264	0	441	1
265	0	442	1
266	0	443	1
267	0	444	1
268	0	445	1
269	0	446	1
270	0	447	1
271	0	448	1
272	0	449	1
273	0	450	1
274	0	451	1
275	0	452	1
276	0	453	1
277	0	454	1
278	0	455	1
279	0	456	1
280	0	457	1
281	0	458	1
282	0	459	1
283	0	460	1
284	0	461	1
285	0	462	1
286	0	463	1
287	0	464	1
288	0	465	1
289	0	466	1
290	0	467	1
291	0	468	1
292	0	469	1
293	0	470	1
294	0	471	1
295	0	472	1
296	0	473	1
297	0	474	1
298	0	475	1
299	0	476	1
300	0	477	1
301	0	478	1
302	0	479	1
303	0	480	1
304	0	481	1
305	0	482	1
306	0	483	1
307	0	484	1
308	0	485	1
309	0	486	1
310	0	487	1
311	0	488	1
312	0	489	1
313	0	490	1
314	0	491	1
315	0	492	1
316	0	493	1
317	0	494	1
318	0	495	1
319	0	496	1
320	0	497	1
321	0	498	1
322	0	499	1
323	0	500	1
324	0	501	1
325	0	502	1
326	0	503	1
327	0	504	1
328	0	505	1
329	0	506	1
330	0	507	1
331	0	508	1
332	0	509	1
333	0	510	1
334	0	511	1
335	0	512	1
336	0	513	1
337	0	514	1
338	0	515	1
339	0	516	1
340	0	517	1
341	0	518	1
342	0	520	1
343	0	521	1
344	0	522	1
345	0	523	1
346	0	524	1
347	0	525	1
348	0	526	1
349	0	527	1
350	0	528	1
351	0	529	1
352	0	530	1
353	0	531	1
354	0	532	1
355	0	533	1
356	0	534	1
357	0	535	1
358	0	536	1
359	0	538	1
360	0	539	1
361	0	540	1
362	0	541	1
363	0	542	1
364	0	543	1
365	0	544	1
366	0	545	1
367	0	546	1
368	0	547	1
369	0	548	1
370	0	549	1
371	0	550	1
372	0	551	1
373	0	552	1
374	0	553	1
375	0	554	1
376	0	555	1
377	0	556	1
378	0	557	1
379	0	558	1
380	0	559	1
381	0	560	1
382	0	561	1
383	0	562	1
384	0	563	1
385	0	564	1
386	0	565	1
387	0	566	1
388	0	567	1
389	0	568	1
390	0	569	1
391	0	570	1
392	0	571	1
393	0	572	1
394	0	573	1
395	0	574	1
396	0	575	1
397	0	576	1
398	0	577	1
399	0	578	1
400	0	579	1
401	0	580	1
402	0	581	1
403	0	582	1
404	0	583	1
405	0	584	1
406	0	585	1
407	0	586	1
408	0	587	1
409	0	588	1
410	0	589	1
411	0	590	1
412	0	591	1
413	0	592	1
414	0	593	1
415	0	594	1
416	0	595	1
417	0	596	1
418	0	597	1
419	0	598	1
420	0	599	1
421	0	600	1
422	0	601	1
423	0	602	1
424	0	603	1
425	0	604	1
426	0	605	1
427	0	606	1
428	0	607	1
429	0	608	1
430	0	609	1
431	0	610	1
432	0	611	1
433	0	612	1
434	0	613	1
435	0	614	1
436	0	615	1
437	0	616	1
438	0	617	1
439	0	618	1
440	0	619	1
441	0	621	1
442	0	622	1
443	0	623	1
444	0	624	1
445	0	625	1
446	0	626	1
447	0	627	1
448	0	628	1
449	0	629	1
450	0	630	1
451	0	631	1
452	0	633	1
453	0	634	1
454	0	635	1
455	0	636	1
456	0	637	1
457	0	638	1
458	0	639	1
459	0	641	1
460	0	642	1
461	0	643	1
462	0	645	1
463	0	646	1
464	0	647	1
465	0	648	1
466	0	649	1
467	0	650	1
468	0	652	1
469	0	653	1
470	0	654	1
471	0	655	1
472	0	656	1
473	0	657	1
474	0	659	1
475	0	660	1
476	0	661	1
477	0	662	1
478	0	663	1
479	0	664	1
480	0	665	1
481	0	666	1
482	0	667	1
483	0	668	1
484	0	669	1
485	0	670	1
486	0	671	1
487	0	672	1
488	0	673	1
489	0	674	1
490	0	675	1
491	0	676	1
492	0	677	1
493	0	678	1
494	0	680	1
495	0	681	1
496	0	682	1
497	0	683	1
498	0	684	1
499	0	685	1
500	0	686	1
501	0	687	1
502	0	688	1
503	0	689	1
504	0	690	1
505	0	691	1
506	0	693	1
507	0	695	1
508	0	696	1
509	0	697	1
510	0	698	1
511	0	699	1
512	0	700	1
513	0	701	1
514	0	703	1
515	0	704	1
516	0	705	1
517	0	706	1
518	0	708	1
519	0	711	1
520	0	713	1
521	0	714	1
522	0	715	1
523	0	717	1
524	0	718	1
525	0	721	1
526	0	722	1
527	0	723	1
528	0	724	1
529	0	725	1
530	0	726	1
531	0	727	1
532	0	728	1
533	0	730	1
534	0	731	1
535	0	732	1
536	0	733	1
537	0	734	1
538	0	735	1
539	0	737	1
540	0	738	1
541	0	739	1
542	0	740	1
543	0	741	1
544	0	742	1
545	0	743	1
546	0	744	1
547	0	745	1
548	0	746	1
549	0	748	1
550	0	749	1
551	0	750	1
552	0	751	1
553	0	752	1
554	0	753	1
555	0	755	1
556	0	756	1
557	0	758	1
558	0	759	1
559	0	761	1
560	0	762	1
561	0	764	1
562	0	765	1
563	0	766	1
564	0	767	1
565	0	768	1
566	0	769	1
567	0	771	1
568	0	773	1
569	0	774	1
570	0	775	1
571	0	776	1
572	0	777	1
573	0	778	1
574	0	779	1
575	0	780	1
576	0	781	1
577	0	783	1
578	0	784	1
579	0	785	1
580	0	786	1
581	0	787	1
582	0	788	1
583	0	790	1
584	0	791	1
585	0	792	1
586	0	793	1
587	0	794	1
588	0	795	1
589	0	796	1
590	0	797	1
591	0	798	1
592	0	799	1
593	0	800	1
594	0	801	1
595	0	802	1
596	0	803	1
597	0	804	1
598	0	805	1
599	0	806	1
600	0	807	1
601	0	808	1
602	0	809	1
603	0	810	1
604	0	811	1
605	0	812	1
606	0	814	1
607	0	815	1
608	0	816	1
609	0	817	1
610	0	819	1
611	0	820	1
612	0	821	1
613	0	822	1
614	0	823	1
615	0	824	1
616	0	825	1
617	0	828	1
618	0	829	1
619	0	830	1
620	0	831	1
621	0	832	1
622	0	833	1
623	0	834	1
624	0	835	1
625	0	836	1
626	0	837	1
627	0	839	1
628	0	840	1
629	0	841	1
630	0	842	1
631	0	843	1
632	0	848	1
633	0	849	1
634	0	850	1
635	0	851	1
636	0	852	1
637	0	853	1
638	0	854	1
639	0	855	1
640	0	856	1
641	0	857	1
642	0	858	1
643	0	859	1
644	0	861	1
645	0	862	1
646	0	863	1
647	0	865	1
648	0	866	1
649	0	867	1
650	0	869	1
651	0	870	1
652	0	871	1
653	0	872	1
654	0	873	1
655	0	875	1
656	0	876	1
657	0	877	1
658	0	878	1
659	0	879	1
660	0	880	1
661	0	881	1
662	0	882	1
663	0	883	1
664	0	884	1
665	0	885	1
666	0	886	1
667	0	888	1
668	0	889	1
669	0	890	1
670	0	891	1
