	row_idx	variable	value
1	112	1	1
2	170	3	1
3	325	4	1
4	425	5	1
5	34	6	1
6	124	7	1
7	453	8	1
8	121	9	1
9	64	10	1
10	363	10	1
11	418	11	1
12	487	11	1
13	488	11	1
14	965	11	1
15	1137	11	1
16	1138	11	1
17	1139	11	1
18	27	12	1
19	50	12	1
20	71	13	1
21	271	13	1
22	300	13	1
23	417	13	1
24	454	13	1
25	967	13	1
26	968	13	1
27	969	13	1
28	1140	13	1
29	1141	13	1
30	1142	13	1
31	1143	13	1
32	1144	13	1
33	98	14	1
34	276	16	1
35	363	16	1
36	425	16	1
37	902	16	1
38	904	16	1
39	27	17	1
40	241	17	1
41	276	17	1
42	307	17	1
43	355	17	1
44	359	17	1
45	425	17	1
46	437	17	1
47	98	18	1
48	390	18	1
49	119	20	1
50	7	24	1
51	277	24	1
52	419	24	1
53	540	24	1
54	27	25	1
55	50	25	1
56	320	25	1
57	102	26	1
58	1122	26	1
59	1123	26	1
60	49	27	1
61	189	28	1
62	64	29	1
63	59	31	1
64	44	32	1
65	82	32	1
66	114	32	1
67	235	32	1
68	374	32	1
69	397	32	1
70	286	33	1
71	326	33	1
72	425	35	1
73	165	36	1
74	222	36	1
75	261	36	1
76	365	36	1
77	371	36	1
78	455	36	1
79	421	37	1
80	115	39	1
81	361	39	1
82	398	39	1
83	325	41	1
84	288	42	1
85	315	42	1
86	358	42	1
87	447	42	1
88	454	42	1
89	203	43	1
90	71	44	1
91	271	44	1
92	300	44	1
93	417	44	1
94	454	44	1
95	967	44	1
96	968	44	1
97	969	44	1
98	1140	44	1
99	1141	44	1
100	1142	44	1
101	1143	44	1
102	1144	44	1
103	142	47	1
104	186	47	1
105	313	47	1
106	108	48	1
107	13	49	1
108	27	49	1
109	50	49	1
110	83	49	1
111	139	49	1
112	164	49	1
113	165	49	1
114	175	49	1
115	194	49	1
116	220	49	1
117	231	49	1
118	254	49	1
119	286	49	1
120	307	49	1
121	320	49	1
122	324	49	1
123	326	49	1
124	328	49	1
125	365	49	1
126	371	49	1
127	430	49	1
128	455	49	1
129	555	49	1
130	165	50	1
131	222	50	1
132	254	50	1
133	307	50	1
134	365	50	1
135	13	51	1
136	83	51	1
137	164	51	1
138	165	51	1
139	194	51	1
140	220	51	1
141	222	51	1
142	254	51	1
143	307	51	1
144	324	51	1
145	328	51	1
146	365	51	1
147	371	51	1
148	430	51	1
149	455	51	1
150	108	53	1
151	236	55	1
152	98	58	1
153	390	58	1
154	13	59	1
155	83	59	1
156	164	59	1
157	165	59	1
158	194	59	1
159	220	59	1
160	222	59	1
161	254	59	1
162	307	59	1
163	324	59	1
164	328	59	1
165	371	59	1
166	430	59	1
167	455	59	1
168	183	61	1
169	309	61	1
170	454	61	1
171	49	62	1
172	421	62	1
173	7	63	1
174	102	63	1
175	135	63	1
176	277	63	1
177	540	63	1
178	687	63	1
179	29	64	1
180	27	65	1
181	50	65	1
182	108	65	1
183	320	65	1
184	1147	65	1
185	1148	65	1
186	99	66	1
187	108	66	1
188	435	66	1
189	443	67	1
190	476	69	1
191	506	69	1
192	276	70	1
193	363	70	1
194	425	70	1
195	343	71	1
196	242	72	1
197	453	72	1
198	276	73	1
199	425	73	1
200	324	75	1
201	454	75	1
202	185	76	1
203	241	77	1
204	355	77	1
205	437	77	1
206	99	78	1
207	35	79	1
208	99	79	1
209	44	83	1
210	235	83	1
211	397	83	1
212	49	84	1
213	88	84	1
214	246	84	1
215	398	84	1
216	287	85	1
217	271	86	1
218	300	86	1
219	454	86	1
220	466	86	1
221	469	86	1
222	487	86	1
223	965	86	1
224	144	87	1
225	165	88	1
226	261	88	1
227	371	88	1
228	455	88	1
229	11	89	1
230	150	89	1
231	435	90	1
232	241	91	1
233	355	91	1
234	437	91	1
235	164	93	1
236	222	93	1
237	371	93	1
238	455	93	1
239	27	94	1
240	50	94	1
241	139	94	1
242	164	94	1
243	165	94	1
244	231	94	1
245	241	94	1
246	254	94	1
247	276	94	1
248	286	94	1
249	320	94	1
250	355	94	1
251	403	94	1
252	425	94	1
253	447	94	1
254	522	94	1
255	628	94	1
256	1147	94	1
257	1148	94	1
258	841	95	1
259	453	96	1
260	241	97	1
261	355	97	1
262	437	97	1
263	11	98	1
264	119	98	1
265	150	98	1
266	801	98	1
267	241	101	1
268	359	101	1
269	437	101	1
270	13	102	1
271	27	102	1
272	50	102	1
273	83	102	1
274	139	102	1
275	164	102	1
276	165	102	1
277	175	102	1
278	194	102	1
279	220	102	1
280	231	102	1
281	254	102	1
282	286	102	1
283	307	102	1
284	320	102	1
285	324	102	1
286	326	102	1
287	328	102	1
288	365	102	1
289	371	102	1
290	430	102	1
291	455	102	1
292	555	102	1
293	98	103	1
294	391	104	1
295	991	104	1
296	276	109	1
297	425	109	1
298	286	110	1
299	326	110	1
300	403	110	1
301	71	111	1
302	271	111	1
303	300	111	1
304	454	111	1
305	967	111	1
306	968	111	1
307	969	111	1
308	1140	111	1
309	1141	111	1
310	1142	111	1
311	1143	111	1
312	1144	111	1
313	11	112	1
314	361	112	1
315	318	113	1
316	453	113	1
317	315	115	1
318	842	116	1
319	540	117	1
320	81	119	1
321	13	121	1
322	27	121	1
323	50	121	1
324	139	121	1
325	164	121	1
326	165	121	1
327	175	121	1
328	194	121	1
329	220	121	1
330	231	121	1
331	254	121	1
332	286	121	1
333	307	121	1
334	320	121	1
335	324	121	1
336	326	121	1
337	328	121	1
338	365	121	1
339	371	121	1
340	376	121	1
341	430	121	1
342	455	121	1
343	555	121	1
344	67	123	1
345	73	123	1
346	318	123	1
347	98	124	1
348	164	124	1
349	194	124	1
350	286	124	1
351	324	124	1
352	326	124	1
353	390	124	1
354	403	124	1
355	607	124	1
356	164	126	1
357	175	126	1
358	254	126	1
359	307	126	1
360	355	126	1
361	271	127	1
362	300	127	1
363	454	127	1
364	98	128	1
365	390	128	1
366	59	129	1
367	269	129	1
368	602	129	1
369	27	131	1
370	50	131	1
371	139	131	1
372	231	131	1
373	320	131	1
374	175	132	1
375	108	133	1
376	1175	133	1
377	246	134	1
378	920	134	1
379	973	134	1
380	974	134	1
381	978	134	1
382	244	135	1
383	896	135	1
384	15	136	1
385	106	136	1
386	283	136	1
387	284	136	1
388	286	137	1
389	326	137	1
390	403	137	1
391	414	138	1
392	246	139	1
393	377	139	1
394	973	139	1
395	974	139	1
396	975	139	1
397	976	139	1
398	977	139	1
399	978	139	1
400	1175	139	1
401	67	141	1
402	318	141	1
403	377	141	1
404	14	142	1
405	85	142	1
406	113	142	1
407	208	142	1
408	256	142	1
409	246	144	1
410	973	144	1
