	drug	disease	value
0	0	698	1
1	0	699	1
2	0	700	1
3	0	701	1
4	0	702	1
5	0	705	1
6	0	706	1
7	0	709	1
8	0	711	1
9	0	712	1
10	0	714	1
11	0	717	1
12	0	720	1
13	0	721	1
14	0	724	1
15	0	725	1
16	0	731	1
17	0	733	1
18	0	736	1
19	0	739	1
20	0	740	1
21	0	741	1
22	0	743	1
23	0	744	1
24	0	745	1
25	0	746	1
26	0	748	1
27	0	753	1
28	0	754	1
29	0	756	1
30	0	757	1
31	0	758	1
32	0	760	1
33	0	761	1
34	0	762	1
35	0	770	1
36	0	771	1
37	0	773	1
38	0	775	1
39	0	784	1
40	0	786	1
41	0	792	1
42	0	794	1
43	0	795	1
44	0	797	1
45	0	799	1
46	0	800	1
47	0	801	1
48	0	805	1
49	0	806	1
50	0	812	1
51	0	813	1
52	0	816	1
53	0	821	1
54	0	822	1
55	0	837	1
56	0	841	1
57	0	842	1
58	0	851	1
59	0	854	1
60	0	863	1
61	0	865	1
62	0	868	1
63	0	869	1
64	0	878	1
65	0	880	1
66	0	881	1
67	0	882	1
68	0	883	1
69	0	887	1
70	0	896	1
71	0	897	1
72	0	898	1
73	0	901	1
74	0	907	1
75	0	910	1
76	0	911	1
77	0	912	1
78	0	913	1
79	0	914	1
80	0	915	1
81	0	919	1
82	0	920	1
83	0	922	1
84	0	925	1
85	0	930	1
86	0	931	1
87	0	932	1
88	0	935	1
89	0	936	1
90	0	937	1
91	0	938	1
92	0	940	1
93	0	944	1
94	0	946	1
95	0	947	1
96	0	949	1
97	0	951	1
98	0	954	1
99	0	960	1
100	0	964	1
101	0	968	1
102	0	972	1
103	0	974	1
104	0	977	1
105	0	980	1
106	0	981	1
107	0	985	1
108	0	989	1
109	0	995	1
110	0	997	1
111	0	998	1
112	0	1000	1
113	0	1012	1
114	0	1028	1
115	0	1046	1
116	0	1047	1
117	0	1050	1
118	0	1054	1
119	0	1055	1
120	0	1056	1
121	0	1057	1
122	0	1064	1
123	0	1065	1
124	0	1067	1
125	0	1068	1
126	0	1069	1
127	0	1070	1
128	0	1071	1
129	0	1078	1
130	0	1081	1
131	0	1082	1
132	0	1083	1
133	0	1085	1
134	0	1087	1
135	0	1091	1
136	0	1093	1
137	0	1094	1
138	0	1095	1
139	0	1097	1
140	0	1101	1
141	0	1103	1
142	0	1106	1
143	0	1108	1
144	0	1112	1
145	0	1113	1
146	0	1115	1
147	0	1116	1
148	0	1117	1
149	0	1119	1
150	0	1122	1
151	0	1123	1
152	0	1124	1
153	0	1161	1
154	0	1170	1
155	0	1176	1
156	0	1185	1
157	0	1215	1
158	0	1222	1
159	0	1239	1
160	0	1253	1
161	0	1259	1
162	0	1266	1
163	0	1270	1
164	0	1273	1
165	0	1281	1
166	0	1287	1
167	0	1295	1
168	0	1296	1
169	0	1299	1
170	0	1307	1
171	0	1314	1
172	0	1339	1
173	0	1381	1
174	0	1387	1
175	0	1390	1
176	0	1407	1
177	0	1411	1
178	0	1412	1
179	0	1431	1
180	0	1472	1
181	0	1477	1
182	0	1489	1
183	0	1490	1
184	0	1491	1
185	0	1496	1
186	0	1502	1
187	0	1514	1
188	0	1521	1
189	0	1528	1
190	0	1535	1
191	0	1538	1
192	0	1542	1
193	0	1543	1
194	0	1546	1
195	0	1548	1
196	0	1556	1
197	0	1562	1
198	0	1564	1
199	0	1577	1
200	0	1582	1
201	0	1583	1
202	0	1584	1
203	0	1593	1
204	0	1595	1
