	drug	protein	value
0	0	421	1
1	1	443	1
2	1	452	1
3	1	521	1
4	1	577	1
5	1	611	1
6	2	428	1
7	3	540	1
8	4	561	1
9	4	594	1
10	4	708	1
11	4	751	1
12	4	752	1
13	4	753	1
14	5	380	1
15	6	399	1
16	6	499	1
17	6	514	1
18	6	560	1
19	6	580	1
20	6	710	1
21	6	711	1
22	6	712	1
23	6	754	1
24	6	755	1
25	6	756	1
26	6	757	1
27	7	493	1
28	7	713	1
29	7	714	1
30	7	715	1
31	8	501	1
32	8	540	1
33	8	702	1
34	8	703	1
35	9	380	1
36	9	480	1
37	9	501	1
38	9	515	1
39	9	538	1
40	9	567	1
41	9	572	1
42	10	415	1
43	11	426	1
44	11	432	1
45	11	681	1
46	11	777	1
47	12	733	1
48	13	454	1
49	13	490	1
50	13	559	1
51	13	570	1
52	13	574	1
53	14	369	1
54	14	502	1
55	14	614	1
56	15	392	1
57	15	524	1
58	16	740	1
59	16	741	1
60	17	391	1
61	18	389	1
62	18	406	1
63	18	423	1
64	18	475	1
65	18	543	1
66	19	506	1
67	20	450	1
68	20	472	1
69	20	541	1
70	20	542	1
71	20	581	1
72	21	539	1
73	21	553	1
74	22	512	1
75	22	722	1
76	23	508	1
77	23	520	1
78	23	576	1
79	23	580	1
80	24	399	1
81	24	499	1
82	24	514	1
83	24	560	1
84	24	710	1
85	24	711	1
86	24	712	1
87	24	754	1
88	24	755	1
89	24	756	1
90	24	757	1
91	24	758	1
92	25	457	1
93	25	519	1
94	25	730	1
95	25	763	1
96	25	764	1
97	25	765	1
98	25	766	1
99	25	767	1
100	26	372	1
101	26	380	1
102	26	392	1
103	26	407	1
104	26	436	1
105	26	449	1
106	26	450	1
107	26	453	1
108	26	460	1
109	26	471	1
110	26	474	1
111	26	487	1
112	26	506	1
113	26	515	1
114	26	526	1
115	26	528	1
116	26	529	1
117	26	541	1
118	26	542	1
119	26	569	1
120	26	581	1
121	26	619	1
122	27	450	1
123	27	472	1
124	27	515	1
125	27	541	1
126	28	372	1
127	28	407	1
128	28	449	1
129	28	450	1
130	28	460	1
131	28	471	1
132	28	472	1
133	28	515	1
134	28	526	1
135	28	529	1
136	28	541	1
137	28	542	1
138	28	569	1
139	28	581	1
140	29	549	1
141	30	372	1
142	30	449	1
143	30	450	1
144	30	460	1
145	30	471	1
146	30	472	1
147	30	487	1
148	30	515	1
149	30	526	1
150	30	529	1
151	30	542	1
152	30	569	1
153	30	581	1
154	31	455	1
155	31	463	1
156	31	517	1
157	32	563	1
158	33	369	1
159	33	418	1
160	33	433	1
161	33	502	1
162	33	614	1
163	34	392	1
164	34	420	1
165	34	524	1
166	34	760	1
167	34	761	1
168	35	420	1
169	35	571	1
170	36	600	1
171	36	675	1
172	36	732	1
173	37	501	1
174	37	567	1
175	38	579	1
176	39	567	1
177	40	526	1
178	41	480	1
179	41	572	1
180	42	416	1
181	43	389	1
182	43	475	1
183	44	410	1
184	44	484	1
185	44	553	1
186	45	499	1
187	45	580	1
188	45	584	1
189	45	585	1
190	45	593	1
191	45	708	1
192	46	603	1
193	47	450	1
194	47	542	1
195	47	581	1
196	48	371	1
197	49	480	1
198	49	534	1
199	50	449	1
200	50	472	1
201	50	542	1
202	51	380	1
203	51	392	1
204	51	436	1
205	51	449	1
206	51	450	1
207	51	474	1
208	51	480	1
209	51	487	1
210	51	501	1
211	51	506	1
212	51	524	1
213	51	534	1
214	51	554	1
215	51	567	1
216	51	576	1
217	51	644	1
218	51	760	1
219	51	761	1
220	51	762	1
221	52	480	1
222	52	572	1
223	53	371	1
224	53	426	1
225	53	445	1
226	53	626	1
227	54	538	1
228	54	572	1
229	55	372	1
230	55	380	1
231	55	392	1
232	55	436	1
233	55	449	1
234	55	450	1
235	55	453	1
236	55	460	1
237	55	471	1
238	55	474	1
239	55	487	1
240	55	506	1
241	55	515	1
242	55	524	1
243	55	526	1
244	55	528	1
245	55	529	1
246	55	541	1
247	55	542	1
248	55	569	1
249	55	581	1
250	55	619	1
251	56	550	1
252	57	501	1
253	58	506	1
254	58	554	1
255	59	399	1
256	59	499	1
257	59	580	1
258	59	710	1
259	59	711	1
260	59	712	1
261	59	754	1
262	59	755	1
263	59	756	1
264	59	757	1
265	59	758	1
266	60	539	1
267	61	523	1
268	62	738	1
269	63	614	1
270	64	372	1
271	64	380	1
272	64	392	1
273	64	408	1
274	64	436	1
275	64	449	1
276	64	450	1
277	64	453	1
278	64	460	1
279	64	471	1
280	64	474	1
281	64	487	1
282	64	506	1
283	64	515	1
284	64	524	1
285	64	526	1
286	64	528	1
287	64	541	1
288	64	542	1
289	64	544	1
290	64	569	1
291	64	581	1
292	64	619	1
293	65	518	1
294	65	621	1
295	65	638	1
296	65	699	1
297	66	398	1
298	66	401	1
299	67	415	1
300	67	449	1
301	67	460	1
302	67	506	1
303	67	528	1
304	67	549	1
305	67	554	1
306	67	637	1
307	68	453	1
308	68	487	1
309	68	515	1
310	68	534	1
311	69	499	1
312	69	580	1
313	70	415	1
314	71	394	1
315	71	635	1
316	72	380	1
317	72	392	1
318	72	474	1
319	72	524	1
320	73	776	1
321	74	484	1
322	74	716	1
323	74	717	1
324	74	721	1
325	75	482	1
326	76	419	1
327	76	504	1
328	76	505	1
329	77	506	1
330	77	528	1
331	78	484	1
332	78	545	1
333	78	716	1
334	78	717	1
335	78	718	1
336	78	719	1
337	78	721	1
338	78	776	1
339	79	398	1
340	79	461	1
341	79	545	1
342	80	373	1
343	80	378	1
344	80	409	1
345	80	422	1
346	80	488	1
347	80	535	1
348	81	484	1
349	81	716	1
350	81	721	1
351	82	399	1
352	82	499	1
353	82	560	1
354	82	580	1
355	82	710	1
356	82	711	1
357	82	712	1
358	82	754	1
359	82	755	1
360	82	756	1
361	82	757	1
362	82	758	1
363	83	372	1
364	83	487	1
365	83	515	1
366	84	392	1
367	84	561	1
368	85	372	1
369	85	407	1
370	85	449	1
371	85	450	1
372	85	460	1
373	85	471	1
374	85	472	1
375	85	515	1
376	85	526	1
377	85	529	1
378	85	542	1
379	85	569	1
380	85	581	1
381	86	499	1
382	86	514	1
383	86	580	1
384	86	584	1
385	86	585	1
386	86	708	1
387	87	545	1
388	88	501	1
389	88	540	1
390	89	514	1
391	90	564	1
392	90	710	1
393	91	380	1
394	91	392	1
395	91	515	1
396	91	524	1
397	92	456	1
398	93	456	1
399	93	457	1
400	94	449	1
401	94	506	1
402	94	549	1
403	95	506	1
404	96	467	1
405	96	473	1
406	96	489	1
407	96	534	1
408	97	391	1
409	97	506	1
410	97	528	1
411	98	380	1
412	98	392	1
413	98	436	1
414	98	474	1
415	98	487	1
416	98	501	1
417	98	524	1
418	98	554	1
419	98	567	1
420	98	760	1
421	98	761	1
422	99	389	1
423	99	406	1
424	99	423	1
425	99	452	1
426	99	475	1
427	99	552	1
428	100	445	1
429	101	445	1
430	102	399	1
431	102	499	1
432	102	514	1
433	102	580	1
434	102	711	1
435	102	712	1
436	102	754	1
437	102	755	1
438	102	756	1
439	102	757	1
440	102	758	1
441	103	501	1
442	103	567	1
443	104	372	1
444	104	450	1
445	104	487	1
446	104	506	1
447	104	569	1
448	105	445	1
449	105	735	1
450	106	578	1
451	107	445	1
452	108	460	1
453	108	526	1
454	109	383	1
455	110	391	1
456	110	415	1
457	111	569	1
458	112	587	1
459	113	380	1
460	113	436	1
461	113	474	1
462	113	524	1
463	114	480	1
464	114	534	1
465	115	401	1
466	116	445	1
467	117	372	1
468	117	477	1
469	117	529	1
470	117	569	1
471	118	686	1
472	119	415	1
473	120	571	1
474	121	647	1
475	122	380	1
476	122	392	1
477	122	436	1
478	122	474	1
479	122	487	1
480	122	501	1
481	122	506	1
482	122	524	1
483	122	554	1
484	122	567	1
485	123	405	1
486	124	372	1
487	124	392	1
488	124	449	1
489	124	501	1
490	124	567	1
491	124	569	1
492	124	580	1
493	125	371	1
494	126	379	1
495	127	749	1
496	128	415	1
497	128	549	1
498	128	581	1
499	128	637	1
500	129	380	1
501	129	436	1
502	129	474	1
503	129	524	1
504	130	371	1
505	131	449	1
506	131	526	1
507	132	371	1
508	132	437	1
509	132	445	1
510	132	610	1
511	132	689	1
512	132	694	1
513	132	727	1
514	133	391	1
515	133	506	1
516	133	554	1
517	134	374	1
518	134	419	1
519	134	464	1
520	134	465	1
521	134	504	1
522	134	547	1
523	134	568	1
524	134	608	1
525	135	415	1
526	135	528	1
527	135	549	1
528	136	523	1
529	137	371	1
530	137	445	1
531	137	565	1
532	137	635	1
533	138	551	1
534	138	701	1
535	139	480	1
536	139	572	1
537	140	415	1
538	141	665	1
539	142	370	1
540	142	422	1
541	142	488	1
542	142	595	1
543	142	596	1
544	142	644	1
545	142	666	1
546	143	380	1
547	143	392	1
548	143	436	1
549	143	478	1
550	143	484	1
551	143	506	1
552	143	524	1
553	143	528	1
554	143	554	1
555	143	716	1
556	143	721	1
557	143	743	1
558	144	372	1
559	144	569	1
560	145	573	1
561	145	631	1
562	145	745	1
563	145	747	1
564	146	457	1
565	147	369	1
566	147	433	1
567	148	646	1
568	149	456	1
569	149	604	1
570	149	683	1
571	150	557	1
572	151	502	1
573	151	614	1
574	151	668	1
575	151	684	1
576	152	412	1
577	152	534	1
578	153	449	1
579	153	450	1
580	153	506	1
581	153	515	1
582	153	567	1
583	154	538	1
584	154	629	1
585	154	677	1
586	154	709	1
587	155	391	1
588	155	420	1
589	155	466	1
590	155	484	1
591	155	500	1
592	155	553	1
593	155	706	1
594	155	716	1
595	155	717	1
596	155	718	1
597	155	719	1
598	155	720	1
599	155	721	1
600	156	415	1
601	156	506	1
602	156	526	1
603	156	528	1
604	156	549	1
605	156	554	1
606	157	450	1
607	157	542	1
608	157	581	1
609	158	482	1
610	158	561	1
611	158	593	1
612	158	594	1
613	158	700	1
614	158	708	1
615	158	751	1
616	158	752	1
617	158	753	1
618	158	784	1
619	158	785	1
620	158	787	1
621	158	788	1
622	159	398	1
623	160	372	1
624	160	487	1
625	160	506	1
626	160	528	1
627	160	569	1
628	161	399	1
629	161	499	1
630	161	514	1
631	161	580	1
632	161	710	1
633	161	711	1
634	161	712	1
635	161	754	1
636	161	755	1
637	161	756	1
638	161	757	1
639	162	545	1
640	162	579	1
641	163	399	1
642	163	499	1
643	163	514	1
644	163	580	1
645	163	711	1
646	163	712	1
647	163	754	1
648	163	755	1
649	163	756	1
650	163	757	1
651	163	758	1
652	164	430	1
653	165	506	1
654	166	728	1
655	167	455	1
656	168	449	1
657	168	487	1
658	168	501	1
659	168	506	1
660	168	528	1
661	168	542	1
662	168	554	1
663	168	569	1
664	168	581	1
665	169	460	1
666	169	526	1
667	169	748	1
668	170	517	1
669	171	534	1
670	171	572	1
671	172	506	1
672	172	528	1
673	173	480	1
674	173	534	1
675	174	445	1
676	175	372	1
677	175	407	1
678	175	449	1
679	175	450	1
680	175	460	1
681	175	471	1
682	175	472	1
683	175	487	1
684	175	526	1
685	175	529	1
686	175	542	1
687	175	544	1
688	175	569	1
689	175	581	1
690	176	380	1
691	176	436	1
692	176	474	1
693	176	487	1
694	176	501	1
695	176	524	1
696	176	567	1
697	177	453	1
698	177	538	1
699	177	540	1
700	177	561	1
701	178	411	1
702	179	453	1
703	179	561	1
704	180	426	1
705	181	700	1
706	182	372	1
707	182	449	1
708	182	450	1
709	182	460	1
710	182	471	1
711	182	487	1
712	182	515	1
713	182	526	1
714	182	528	1
715	182	529	1
716	182	542	1
717	182	569	1
718	183	420	1
719	184	528	1
720	185	445	1
721	185	475	1
722	186	395	1
723	186	487	1
724	186	506	1
725	186	541	1
726	187	478	1
727	187	576	1
728	187	580	1
729	188	417	1
730	189	658	1
731	189	676	1
732	189	682	1
733	189	759	1
734	190	441	1
735	190	634	1
736	190	703	1
737	191	398	1
738	191	578	1
739	192	371	1
740	193	445	1
741	194	499	1
742	194	580	1
743	194	584	1
744	194	585	1
745	194	593	1
746	194	708	1
747	195	371	1
748	195	377	1
749	195	437	1
750	195	445	1
751	195	670	1
752	195	782	1
753	196	389	1
754	196	406	1
755	196	423	1
756	197	372	1
757	197	407	1
758	197	449	1
759	197	526	1
760	198	392	1
761	199	369	1
762	199	418	1
763	199	614	1
764	199	660	1
765	199	668	1
766	200	503	1
767	201	380	1
768	201	392	1
769	201	474	1
770	202	561	1
771	203	444	1
772	204	534	1
773	204	572	1
774	205	445	1
775	206	692	1
776	206	694	1
777	206	712	1
778	207	455	1
779	207	517	1
780	207	769	1
781	208	402	1
782	209	399	1
783	209	514	1
784	209	560	1
785	209	580	1
786	209	710	1
787	209	711	1
788	209	712	1
789	209	754	1
790	209	755	1
791	209	756	1
792	209	758	1
793	210	478	1
794	210	506	1
795	210	569	1
796	210	640	1
797	210	779	1
798	211	579	1
799	212	380	1
800	212	392	1
801	212	436	1
802	212	474	1
803	213	478	1
804	213	480	1
805	213	534	1
806	213	572	1
807	213	620	1
808	214	415	1
809	215	399	1
810	215	499	1
811	215	514	1
812	215	580	1
813	215	710	1
814	215	712	1
815	215	754	1
816	215	755	1
817	215	756	1
818	215	757	1
819	215	758	1
820	216	482	1
821	217	480	1
822	217	572	1
823	218	372	1
824	218	569	1
825	219	742	1
826	220	445	1
827	221	418	1
828	221	740	1
829	222	517	1
830	223	445	1
831	224	414	1
832	225	448	1
833	225	507	1
834	225	679	1
835	226	399	1
836	226	499	1
837	226	514	1
838	226	560	1
839	226	580	1
840	226	710	1
841	226	712	1
842	226	754	1
843	226	755	1
844	226	756	1
845	226	757	1
846	226	758	1
847	227	431	1
848	227	538	1
849	227	564	1
850	227	580	1
851	228	480	1
852	228	534	1
853	229	507	1
854	230	450	1
855	230	453	1
856	230	572	1
857	230	581	1
858	231	385	1
859	231	532	1
860	231	723	1
861	232	416	1
862	232	420	1
863	232	501	1
864	232	524	1
865	232	540	1
866	232	567	1
867	233	391	1
868	233	410	1
869	234	420	1
870	234	455	1
871	234	500	1
872	234	517	1
873	234	598	1
874	234	690	1
875	234	692	1
876	234	693	1
877	234	694	1
878	234	702	1
879	234	703	1
880	234	769	1
881	234	770	1
882	234	771	1
883	234	772	1
884	234	773	1
885	234	774	1
886	235	426	1
887	236	569	1
888	237	581	1
889	238	502	1
890	238	668	1
891	238	742	1
892	239	480	1
893	239	572	1
894	240	449	1
895	240	460	1
896	240	478	1
897	240	506	1
898	240	549	1
899	241	723	1
900	242	487	1
901	243	501	1
902	244	477	1
903	245	450	1
904	245	492	1
905	245	581	1
906	246	542	1
907	246	581	1
908	247	415	1
909	247	450	1
910	247	581	1
911	248	580	1
912	249	371	1
913	250	449	1
914	251	426	1
915	252	533	1
916	252	668	1
917	252	705	1
918	253	458	1
919	254	372	1
920	254	404	1
921	254	407	1
922	254	471	1
923	254	540	1
924	254	569	1
925	255	700	1
926	256	371	1
927	257	369	1
928	258	542	1
929	259	455	1
930	259	479	1
931	259	520	1
932	259	690	1
933	259	729	1
934	260	371	1
935	260	739	1
936	261	371	1
937	261	437	1
938	261	445	1
939	262	413	1
940	262	486	1
941	262	636	1
942	262	649	1
943	262	671	1
944	263	478	1
945	263	484	1
946	263	545	1
947	263	598	1
948	263	640	1
949	263	716	1
950	263	721	1
951	263	743	1
952	263	744	1
953	264	384	1
954	265	601	1
955	265	652	1
956	266	420	1
957	267	380	1
958	267	392	1
959	267	436	1
960	267	474	1
961	268	702	1
962	269	386	1
963	270	445	1
964	270	566	1
965	270	656	1
966	271	453	1
967	271	477	1
968	272	579	1
969	273	445	1
970	274	380	1
971	274	392	1
972	275	415	1
973	275	549	1
974	275	613	1
975	275	637	1
976	275	724	1
977	275	725	1
978	276	424	1
979	277	399	1
980	277	499	1
981	277	560	1
982	277	580	1
983	277	710	1
984	277	711	1
985	277	712	1
986	277	754	1
987	277	755	1
988	277	756	1
989	277	757	1
990	277	758	1
991	278	392	1
992	278	436	1
993	278	474	1
994	278	478	1
995	278	487	1
996	278	506	1
997	278	524	1
998	278	569	1
999	279	457	1
1000	279	519	1
1001	280	597	1
1002	280	776	1
1003	281	390	1
1004	281	472	1
1005	281	487	1
1006	282	441	1
1007	283	625	1
1008	283	768	1
1009	284	380	1
1010	284	392	1
1011	285	429	1
1012	286	497	1
1013	286	502	1
1014	286	657	1
1015	286	668	1
1016	286	684	1
1017	287	776	1
1018	288	478	1
1019	288	529	1
1020	288	569	1
1021	289	567	1
1022	290	501	1
1023	290	540	1
1024	291	368	1
1025	291	391	1
1026	291	476	1
1027	291	520	1
1028	291	780	1
1029	291	781	1
1030	292	533	1
1031	293	501	1
1032	293	540	1
1033	294	478	1
1034	294	484	1
1035	294	576	1
1036	294	716	1
1037	294	717	1
1038	294	721	1
1039	295	391	1
1040	295	598	1
1041	296	455	1
1042	296	479	1
1043	296	520	1
1044	296	558	1
1045	297	424	1
1046	298	391	1
1047	298	413	1
1048	298	415	1
1049	298	506	1
1050	298	630	1
1051	298	659	1
1052	298	664	1
1053	299	380	1
1054	299	392	1
1055	299	395	1
1056	299	436	1
1057	299	449	1
1058	299	450	1
1059	299	460	1
1060	299	472	1
1061	299	474	1
1062	299	487	1
1063	299	501	1
1064	299	506	1
1065	299	515	1
1066	299	524	1
1067	299	526	1
1068	299	528	1
1069	299	554	1
1070	299	567	1
1071	300	491	1
1072	301	392	1
1073	302	449	1
1074	302	450	1
1075	302	487	1
1076	302	501	1
1077	302	506	1
1078	302	515	1
1079	302	528	1
1080	302	567	1
1081	303	380	1
1082	303	392	1
1083	303	415	1
1084	303	474	1
1085	303	487	1
1086	303	501	1
1087	303	506	1
1088	303	524	1
1089	303	549	1
1090	303	567	1
1091	303	628	1
1092	304	501	1
1093	304	752	1
1094	305	476	1
1095	305	508	1
1096	305	516	1
1097	305	520	1
1098	305	538	1
1099	305	642	1
1100	305	643	1
1101	305	655	1
1102	305	680	1
1103	305	749	1
1104	305	750	1
1105	306	416	1
1106	306	453	1
1107	306	540	1
1108	307	391	1
1109	307	506	1
1110	307	528	1
1111	308	483	1
1112	308	613	1
1113	308	641	1
1114	308	645	1
1115	308	650	1
1116	308	670	1
1117	309	467	1
1118	309	473	1
1119	309	501	1
1120	309	516	1
1121	309	538	1
1122	310	499	1
1123	310	580	1
1124	310	584	1
1125	310	585	1
1126	310	593	1
1127	310	708	1
1128	311	391	1
1129	312	398	1
