	protein	drug	value
0	0	699	1
1	1	232	1
2	1	260	1
3	1	426	1
4	1	431	1
5	1	504	1
6	1	592	1
7	2	707	1
8	3	282	1
9	3	290	1
10	3	299	1
11	3	350	1
12	3	351	1
13	3	371	1
14	3	391	1
15	3	399	1
16	3	403	1
17	3	411	1
18	3	463	1
19	3	476	1
20	3	494	1
21	3	495	1
22	3	498	1
23	3	510	1
24	3	528	1
25	3	534	1
26	3	590	1
27	3	598	1
28	3	602	1
29	3	618	1
30	4	253	1
31	4	257	1
32	4	293	1
33	4	305	1
34	4	326	1
35	4	329	1
36	4	357	1
37	4	373	1
38	4	387	1
39	4	420	1
40	4	446	1
41	4	464	1
42	4	473	1
43	4	501	1
44	4	525	1
45	4	587	1
46	4	673	1
47	4	680	1
48	4	695	1
49	4	701	1
50	4	739	1
51	4	751	1
52	5	711	1
53	6	407	1
54	7	705	1
55	7	726	1
56	8	474	1
57	9	222	1
58	9	227	1
59	9	251	1
60	9	262	1
61	9	286	1
62	9	293	1
63	9	305	1
64	9	313	1
65	9	337	1
66	9	348	1
67	9	368	1
68	9	384	1
69	9	398	1
70	9	419	1
71	9	465	1
72	9	506	1
73	9	518	1
74	9	612	1
75	9	620	1
76	9	624	1
77	9	630	1
78	9	653	1
79	9	657	1
80	9	695	1
81	9	696	1
82	9	701	1
83	9	719	1
84	9	729	1
85	9	734	1
86	10	261	1
87	11	216	1
88	11	445	1
89	11	499	1
90	11	537	1
91	11	608	1
92	12	549	1
93	12	633	1
94	13	702	1
95	13	725	1
96	14	276	1
97	14	349	1
98	14	500	1
99	15	548	1
100	15	627	1
101	16	235	1
102	16	259	1
103	16	277	1
104	16	347	1
105	16	404	1
106	16	437	1
107	16	446	1
108	16	552	1
109	16	637	1
110	16	642	1
111	16	646	1
112	16	652	1
113	16	663	1
114	16	669	1
115	16	689	1
116	17	222	1
117	17	233	1
118	17	251	1
119	17	262	1
120	17	286	1
121	17	293	1
122	17	305	1
123	17	313	1
124	17	327	1
125	17	337	1
126	17	348	1
127	17	368	1
128	17	384	1
129	17	387	1
130	17	398	1
131	17	419	1
132	17	465	1
133	17	492	1
134	17	503	1
135	17	506	1
136	17	507	1
137	17	518	1
138	17	551	1
139	17	582	1
140	17	586	1
141	17	612	1
142	17	624	1
143	17	630	1
144	17	653	1
145	17	655	1
146	17	657	1
147	17	695	1
148	17	698	1
149	17	701	1
150	17	729	1
151	17	734	1
152	17	738	1
153	18	238	1
154	18	483	1
155	18	749	1
156	19	372	1
157	19	402	1
158	19	478	1
159	19	530	1
160	19	562	1
161	19	653	1
162	20	220	1
163	20	722	1
164	20	733	1
165	20	742	1
166	21	307	1
167	21	322	1
168	21	359	1
169	21	383	1
170	21	444	1
171	21	493	1
172	21	670	1
173	21	672	1
174	21	678	1
175	21	728	1
176	22	223	1
177	22	248	1
178	22	298	1
179	22	325	1
180	22	355	1
181	22	448	1
182	22	451	1
183	22	515	1
184	22	522	1
185	22	543	1
186	22	623	1
187	22	732	1
188	22	735	1
189	23	307	1
190	23	332	1
191	23	370	1
192	23	418	1
193	23	421	1
194	23	438	1
195	23	450	1
196	23	649	1
197	23	728	1
198	23	741	1
199	23	757	1
200	24	514	1
201	25	385	1
202	25	726	1
203	26	239	1
204	26	349	1
205	27	251	1
206	27	257	1
207	27	293	1
208	27	329	1
209	27	464	1
210	27	501	1
211	27	587	1
212	27	673	1
213	27	680	1
214	27	695	1
215	27	701	1
216	28	323	1
217	29	552	1
218	30	467	1
219	31	603	1
220	31	652	1
221	32	536	1
222	33	224	1
223	33	228	1
224	33	256	1
225	33	294	1
226	33	308	1
227	33	311	1
228	33	363	1
229	33	376	1
230	33	397	1
231	33	408	1
232	33	414	1
233	33	439	1
234	33	521	1
235	33	571	1
236	33	646	1
237	33	652	1
238	33	657	1
239	33	675	1
240	33	681	1
241	33	685	1
242	33	686	1
243	33	715	1
244	33	744	1
245	33	751	1
246	34	263	1
247	34	273	1
248	34	274	1
249	34	551	1
250	34	572	1
251	34	631	1
252	34	662	1
253	34	666	1
254	35	234	1
255	35	260	1
256	35	504	1
257	35	529	1
258	35	580	1
259	36	407	1
260	37	250	1
261	37	254	1
262	37	262	1
263	37	263	1
264	37	315	1
265	37	379	1
266	37	396	1
267	37	437	1
268	37	447	1
269	37	474	1
270	37	477	1
271	37	480	1
272	37	490	1
273	37	532	1
274	37	551	1
275	37	552	1
276	37	611	1
277	37	669	1
278	37	677	1
279	37	716	1
280	38	212	1
281	39	416	1
282	39	707	1
283	39	711	1
284	40	239	1
285	40	500	1
286	41	244	1
287	41	441	1
288	41	470	1
289	41	622	1
290	41	648	1
291	42	229	1
292	42	290	1
293	42	328	1
294	42	470	1
295	42	498	1
296	42	555	1
297	42	576	1
298	42	602	1
299	42	622	1
300	42	725	1
301	43	219	1
302	44	217	1
303	44	366	1
304	44	375	1
305	44	452	1
306	44	496	1
307	44	538	1
308	44	720	1
309	45	260	1
310	46	697	1
311	46	705	1
312	47	251	1
313	47	286	1
314	47	293	1
315	47	305	1
316	47	313	1
317	47	348	1
318	47	368	1
319	47	384	1
320	47	398	1
321	47	419	1
322	47	518	1
323	47	612	1
324	47	624	1
325	47	653	1
326	47	657	1
327	47	695	1
328	47	701	1
329	47	734	1
330	48	352	1
331	48	403	1
332	48	498	1
333	48	602	1
334	49	546	1
335	50	491	1
336	50	628	1
337	51	282	1
338	51	290	1
339	51	350	1
340	51	351	1
341	51	358	1
342	51	360	1
343	51	371	1
344	51	391	1
345	51	399	1
346	51	401	1
347	51	403	1
348	51	411	1
349	51	463	1
350	51	476	1
351	51	494	1
352	51	495	1
353	51	498	1
354	51	510	1
355	51	528	1
356	51	534	1
357	51	574	1
358	51	590	1
359	51	598	1
360	51	602	1
361	51	615	1
362	51	618	1
363	52	251	1
364	52	253	1
365	52	257	1
366	52	285	1
367	52	286	1
368	52	293	1
369	52	305	1
370	52	308	1
371	52	309	1
372	52	329	1
373	52	344	1
374	52	361	1
375	52	387	1
376	52	400	1
377	52	424	1
378	52	434	1
379	52	439	1
380	52	453	1
381	52	456	1
382	52	457	1
383	52	464	1
384	52	478	1
385	52	501	1
386	52	561	1
387	52	575	1
388	52	577	1
389	52	604	1
390	52	653	1
391	52	656	1
392	52	673	1
393	52	680	1
394	52	695	1
395	52	701	1
396	52	733	1
397	52	751	1
398	52	758	1
399	53	242	1
400	53	251	1
401	53	252	1
402	53	253	1
403	53	257	1
404	53	281	1
405	53	286	1
406	53	293	1
407	53	305	1
408	53	329	1
409	53	357	1
410	53	364	1
411	53	384	1
412	53	397	1
413	53	434	1
414	53	440	1
415	53	464	1
416	53	473	1
417	53	548	1
418	53	568	1
419	53	571	1
420	53	656	1
421	53	673	1
422	53	680	1
423	53	695	1
424	53	701	1
425	53	738	1
426	53	751	1
427	54	536	1
428	55	349	1
429	56	251	1
430	56	293	1
431	56	305	1
432	56	309	1
433	56	314	1
434	56	466	1
435	56	469	1
436	56	482	1
437	56	541	1
438	56	548	1
439	56	616	1
440	56	662	1
441	56	695	1
442	56	701	1
443	56	748	1
444	57	258	1
445	57	455	1
446	57	459	1
447	57	512	1
448	57	533	1
449	57	553	1
450	57	595	1
451	57	676	1
452	58	271	1
453	58	340	1
454	58	341	1
455	58	428	1
456	58	638	1
457	59	249	1
458	59	341	1
459	59	423	1
460	59	596	1
461	60	236	1
462	60	395	1
463	60	428	1
464	60	659	1
465	61	251	1
466	61	253	1
467	61	257	1
468	61	293	1
469	61	305	1
470	61	308	1
471	61	329	1
472	61	361	1
473	61	400	1
474	61	457	1
475	61	464	1
476	61	473	1
477	61	501	1
478	61	561	1
479	61	653	1
480	61	673	1
481	61	680	1
482	61	695	1
483	61	733	1
484	61	751	1
485	62	403	1
486	63	437	1
487	63	519	1
488	64	346	1
489	64	745	1
490	65	711	1
491	66	692	1
492	67	251	1
493	67	253	1
494	67	257	1
495	67	293	1
496	67	305	1
497	67	329	1
498	67	464	1
499	67	587	1
500	67	673	1
501	67	680	1
502	67	695	1
503	67	701	1
504	67	751	1
505	68	242	1
506	68	252	1
507	68	253	1
508	68	257	1
