	drug	protein	value
0	0	398	1
1	1	433	1
2	1	441	1
3	1	506	1
4	1	509	1
5	1	593	1
6	2	679	1
7	3	524	1
8	4	544	1
9	4	575	1
10	4	576	1
11	4	680	1
12	4	723	1
13	4	724	1
14	5	387	1
15	6	394	1
16	6	486	1
17	6	499	1
18	6	543	1
19	6	562	1
20	6	682	1
21	6	683	1
22	6	684	1
23	6	726	1
24	6	727	1
25	6	729	1
26	6	730	1
27	7	482	1
28	7	484	1
29	7	685	1
30	7	686	1
31	8	488	1
32	8	524	1
33	8	675	1
34	8	676	1
35	9	377	1
36	9	469	1
37	9	488	1
38	9	500	1
39	9	522	1
40	9	550	1
41	9	555	1
42	10	533	1
43	11	420	1
44	11	425	1
45	11	656	1
46	11	749	1
47	12	705	1
48	13	479	1
49	13	542	1
50	13	553	1
51	13	557	1
52	13	597	1
53	14	366	1
54	14	545	1
55	14	596	1
56	15	387	1
57	15	508	1
58	16	712	1
59	16	713	1
60	17	386	1
61	18	384	1
62	18	401	1
63	18	464	1
64	18	527	1
65	18	536	1
66	19	493	1
67	20	439	1
68	20	461	1
69	20	481	1
70	20	525	1
71	20	526	1
72	21	419	1
73	21	537	1
74	22	497	1
75	22	694	1
76	23	495	1
77	23	505	1
78	23	558	1
79	23	562	1
80	24	394	1
81	24	486	1
82	24	499	1
83	24	543	1
84	24	562	1
85	24	682	1
86	24	683	1
87	24	684	1
88	24	726	1
89	24	727	1
90	24	728	1
91	24	729	1
92	25	431	1
93	25	504	1
94	25	702	1
95	25	735	1
96	25	736	1
97	25	737	1
98	25	738	1
99	25	739	1
100	26	369	1
101	26	377	1
102	26	387	1
103	26	402	1
104	26	429	1
105	26	438	1
106	26	439	1
107	26	442	1
108	26	449	1
109	26	460	1
110	26	463	1
111	26	476	1
112	26	493	1
113	26	500	1
114	26	508	1
115	26	510	1
116	26	512	1
117	26	513	1
118	26	525	1
119	26	552	1
120	26	563	1
121	26	598	1
122	27	461	1
123	27	476	1
124	27	500	1
125	27	525	1
126	28	369	1
127	28	402	1
128	28	438	1
129	28	439	1
130	28	449	1
131	28	460	1
132	28	476	1
133	28	500	1
134	28	510	1
135	28	513	1
136	28	525	1
137	28	526	1
138	28	552	1
139	28	563	1
140	29	533	1
141	30	402	1
142	30	438	1
143	30	439	1
144	30	449	1
145	30	460	1
146	30	461	1
147	30	476	1
148	30	500	1
149	30	510	1
150	30	513	1
151	30	526	1
152	30	552	1
153	30	563	1
154	31	452	1
155	31	502	1
156	31	562	1
157	32	546	1
158	33	366	1
159	33	413	1
160	33	426	1
161	33	489	1
162	33	643	1
163	34	387	1
164	34	415	1
165	34	508	1
166	34	732	1
167	34	733	1
168	35	415	1
169	35	554	1
170	36	569	1
171	36	650	1
172	36	704	1
173	37	488	1
174	37	550	1
175	38	470	1
176	39	488	1
177	40	510	1
178	41	518	1
179	41	555	1
180	42	381	1
181	43	384	1
182	43	536	1
183	44	405	1
184	44	473	1
185	44	537	1
186	45	486	1
187	45	499	1
188	45	562	1
189	45	566	1
190	45	575	1
191	45	680	1
192	46	432	1
193	47	439	1
194	47	481	1
195	47	526	1
196	48	368	1
197	49	469	1
198	49	518	1
199	50	438	1
200	50	526	1
201	50	563	1
202	51	377	1
203	51	387	1
204	51	429	1
205	51	438	1
206	51	439	1
207	51	463	1
208	51	469	1
209	51	476	1
210	51	488	1
211	51	493	1
212	51	508	1
213	51	538	1
214	51	550	1
215	51	558	1
216	51	592	1
217	51	622	1
218	51	732	1
219	51	733	1
220	51	734	1
221	52	469	1
222	52	555	1
223	53	368	1
224	53	420	1
225	53	605	1
226	53	663	1
227	54	469	1
228	54	555	1
229	55	369	1
230	55	377	1
231	55	387	1
232	55	402	1
233	55	429	1
234	55	438	1
235	55	439	1
236	55	442	1
237	55	449	1
238	55	463	1
239	55	476	1
240	55	493	1
241	55	500	1
242	55	508	1
243	55	510	1
244	55	512	1
245	55	513	1
246	55	525	1
247	55	526	1
248	55	552	1
249	55	563	1
250	55	598	1
251	56	534	1
252	57	550	1
253	58	493	1
254	58	538	1
255	59	394	1
256	59	486	1
257	59	499	1
258	59	562	1
259	59	682	1
260	59	684	1
261	59	726	1
262	59	727	1
263	59	728	1
264	59	729	1
265	59	730	1
266	60	368	1
267	61	507	1
268	62	670	1
269	63	596	1
270	64	369	1
271	64	377	1
272	64	387	1
273	64	403	1
274	64	429	1
275	64	438	1
276	64	439	1
277	64	442	1
278	64	449	1
279	64	460	1
280	64	463	1
281	64	476	1
282	64	500	1
283	64	508	1
284	64	510	1
285	64	512	1
286	64	513	1
287	64	525	1
288	64	526	1
289	64	528	1
290	64	552	1
291	64	563	1
292	64	598	1
293	65	503	1
294	65	600	1
295	65	671	1
296	65	672	1
297	66	393	1
298	66	507	1
299	67	438	1
300	67	449	1
301	67	493	1
302	67	510	1
303	67	512	1
304	67	533	1
305	67	538	1
306	67	615	1
307	68	442	1
308	68	476	1
309	68	500	1
310	68	518	1
311	69	499	1
312	69	562	1
313	70	533	1
314	71	389	1
315	71	613	1
316	72	377	1
317	72	387	1
318	72	463	1
319	72	508	1
320	73	748	1
321	74	473	1
322	74	678	1
323	74	688	1
324	74	693	1
325	75	673	1
326	76	371	1
327	76	414	1
328	76	491	1
329	77	493	1
330	77	512	1
331	78	473	1
332	78	529	1
333	78	688	1
334	78	689	1
335	78	690	1
336	78	691	1
337	78	692	1
338	78	748	1
339	79	393	1
340	79	507	1
341	79	529	1
342	80	375	1
343	80	404	1
344	80	417	1
345	80	458	1
346	80	477	1
347	80	519	1
348	81	473	1
349	81	688	1
350	81	693	1
351	82	394	1
352	82	486	1
353	82	499	1
354	82	543	1
355	82	562	1
356	82	682	1
357	82	683	1
358	82	684	1
359	82	726	1
360	82	728	1
361	82	729	1
362	82	730	1
363	83	369	1
364	83	476	1
365	83	552	1
366	84	387	1
367	84	544	1
368	85	369	1
369	85	402	1
370	85	438	1
371	85	439	1
372	85	449	1
373	85	460	1
374	85	461	1
375	85	476	1
376	85	510	1
377	85	513	1
378	85	526	1
379	85	552	1
380	85	563	1
381	86	486	1
382	86	499	1
383	86	562	1
384	86	566	1
385	86	567	1
386	86	575	1
387	87	396	1
388	88	488	1
389	88	524	1
390	89	562	1
391	90	378	1
392	90	682	1
393	91	377	1
394	91	387	1
395	91	476	1
396	91	508	1
397	92	445	1
398	93	445	1
399	93	520	1
400	94	438	1
401	94	493	1
402	94	673	1
403	95	552	1
404	96	456	1
405	96	466	1
406	96	478	1
407	96	518	1
408	97	386	1
409	97	493	1
410	97	538	1
411	98	377	1
412	98	429	1
413	98	463	1
414	98	476	1
415	98	488	1
416	98	493	1
417	98	508	1
418	98	538	1
419	98	550	1
420	98	732	1
421	98	733	1
422	99	384	1
423	99	401	1
424	99	441	1
425	99	464	1
426	99	527	1
427	99	536	1
428	100	435	1
429	101	435	1
430	102	394	1
431	102	486	1
432	102	562	1
433	102	682	1
434	102	683	1
435	102	684	1
436	102	726	1
437	102	727	1
438	102	728	1
439	102	729	1
440	102	730	1
441	103	488	1
442	103	524	1
443	104	369	1
444	104	476	1
445	104	493	1
446	104	512	1
447	104	552	1
448	105	435	1
449	105	707	1
