"row_idx" "variable" "value"
547 "3" 1
623 "3" 1
24 "7" 1
63 "7" 1
280 "7" 1
287 "7" 1
375 "7" 1
484 "7" 1
269 "8" 1
632 "8" 1
89 "11" 1
98 "11" 1
112 "11" 1
179 "11" 1
180 "11" 1
205 "11" 1
234 "11" 1
245 "11" 1
252 "11" 1
262 "11" 1
328 "11" 1
345 "11" 1
365 "11" 1
366 "11" 1
369 "11" 1
381 "11" 1
406 "11" 1
412 "11" 1
462 "11" 1
481 "11" 1
492 "11" 1
496 "11" 1
517 "11" 1
49 "13" 1
51 "13" 1
59 "13" 1
102 "13" 1
121 "13" 1
146 "13" 1
149 "13" 1
186 "13" 1
207 "13" 1
229 "13" 1
273 "13" 1
303 "13" 1
330 "13" 1
341 "13" 1
372 "13" 1
401 "13" 1
478 "13" 1
589 "13" 1
598 "13" 1
617 "13" 1
625 "13" 1
679 "13" 1
695 "13" 1
142 "14" 1
638 "14" 1
136 "15" 1
256 "15" 1
619 "17" 1
629 "17" 1
660 "17" 1
638 "19" 1
342 "20" 1
369 "20" 1
142 "22" 1
237 "26" 1
12 "27" 1
17 "27" 1
25 "27" 1
49 "27" 1
65 "27" 1
94 "27" 1
102 "27" 1
121 "27" 1
131 "27" 1
161 "27" 1
176 "27" 1
202 "27" 1
226 "27" 1
244 "27" 1
272 "27" 1
331 "27" 1
377 "27" 1
393 "27" 1
507 "27" 1
521 "27" 1
525 "27" 1
535 "27" 1
565 "27" 1
570 "27" 1
617 "27" 1
618 "27" 1
625 "27" 1
651 "27" 1
663 "27" 1
672 "27" 1
159 "32" 1
194 "33" 1
464 "34" 1
503 "34" 1
79 "35" 1
430 "35" 1
538 "35" 1
509 "40" 1
659 "40" 1
623 "41" 1
32 "44" 1
83 "44" 1
177 "44" 1
371 "44" 1
429 "46" 1
530 "46" 1
622 "46" 1
27 "49" 1
62 "49" 1
84 "49" 1
175 "49" 1
195 "49" 1
253 "49" 1
293 "49" 1
303 "49" 1
433 "49" 1
542 "49" 1
547 "49" 1
553 "49" 1
562 "49" 1
576 "49" 1
585 "49" 1
12 "50" 1
25 "50" 1
49 "50" 1
65 "50" 1
94 "50" 1
102 "50" 1
121 "50" 1
131 "50" 1
147 "50" 1
161 "50" 1
176 "50" 1
202 "50" 1
226 "50" 1
229 "50" 1
244 "50" 1
272 "50" 1
331 "50" 1
374 "50" 1
377 "50" 1
378 "50" 1
393 "50" 1
432 "50" 1
507 "50" 1
521 "50" 1
525 "50" 1
535 "50" 1
565 "50" 1
567 "50" 1
570 "50" 1
617 "50" 1
622 "50" 1
625 "50" 1
663 "50" 1
672 "50" 1
678 "50" 1
194 "52" 1
129 "59" 1
347 "61" 1
565 "61" 1
695 "61" 1
350 "63" 1
10 "65" 1
655 "65" 1
670 "65" 1
123 "68" 1
141 "68" 1
190 "68" 1
261 "68" 1
301 "68" 1
364 "68" 1
586 "68" 1
588 "68" 1
596 "68" 1
662 "68" 1
13 "72" 1
44 "72" 1
111 "72" 1
145 "72" 1
184 "72" 1
307 "72" 1
311 "72" 1
389 "72" 1
397 "72" 1
424 "72" 1
524 "72" 1
608 "72" 1
669 "72" 1
673 "72" 1
117 "73" 1
123 "74" 1
154 "74" 1
204 "74" 1
310 "74" 1
588 "74" 1
662 "74" 1
385 "75" 1
1 "76" 1
385 "79" 1
478 "79" 1
227 "82" 1
660 "82" 1
32 "83" 1
177 "83" 1
371 "83" 1
49 "84" 1
51 "84" 1
59 "84" 1
102 "84" 1
149 "84" 1
330 "84" 1
372 "84" 1
478 "84" 1
589 "84" 1
598 "84" 1
617 "84" 1
625 "84" 1
121 "85" 1
142 "86" 1
638 "86" 1
84 "89" 1
433 "89" 1
334 "90" 1
676 "90" 1
288 "91" 1
497 "95" 1
555 "95" 1
562 "95" 1
414 "96" 1
694 "96" 1
18 "99" 1
58 "99" 1
124 "99" 1
128 "99" 1
195 "99" 1
214 "99" 1
243 "99" 1
258 "99" 1
266 "99" 1
295 "99" 1
396 "99" 1
459 "99" 1
522 "99" 1
553 "99" 1
562 "99" 1
570 "99" 1
593 "99" 1
600 "99" 1
604 "99" 1
607 "99" 1
642 "99" 1
686 "99" 1
695 "99" 1
66 "100" 1
79 "100" 1
333 "100" 1
432 "100" 1
575 "100" 1
581 "100" 1
350 "102" 1
26 "103" 1
63 "103" 1
375 "103" 1
407 "103" 1
470 "103" 1
136 "107" 1
256 "107" 1
