	row_idx	variable	value
1	547	3	1
2	623	3	1
3	24	7	1
4	63	7	1
5	280	7	1
6	287	7	1
7	375	7	1
8	484	7	1
9	269	8	1
10	632	8	1
11	89	11	1
12	98	11	1
13	112	11	1
14	179	11	1
15	180	11	1
16	205	11	1
17	234	11	1
18	245	11	1
19	252	11	1
20	262	11	1
21	328	11	1
22	345	11	1
23	365	11	1
24	366	11	1
25	369	11	1
26	381	11	1
27	406	11	1
28	412	11	1
29	462	11	1
30	481	11	1
31	492	11	1
32	496	11	1
33	517	11	1
34	49	13	1
35	51	13	1
36	59	13	1
37	102	13	1
38	121	13	1
39	146	13	1
40	149	13	1
41	186	13	1
42	207	13	1
43	229	13	1
44	273	13	1
45	303	13	1
46	330	13	1
47	341	13	1
48	372	13	1
49	401	13	1
50	478	13	1
51	589	13	1
52	598	13	1
53	617	13	1
54	625	13	1
55	679	13	1
56	695	13	1
57	142	14	1
58	638	14	1
59	136	15	1
60	256	15	1
61	619	17	1
62	629	17	1
63	660	17	1
64	638	19	1
65	342	20	1
66	369	20	1
67	142	22	1
68	237	26	1
69	12	27	1
70	17	27	1
71	25	27	1
72	49	27	1
73	65	27	1
74	94	27	1
75	102	27	1
76	121	27	1
77	131	27	1
78	161	27	1
79	176	27	1
80	202	27	1
81	226	27	1
82	244	27	1
83	272	27	1
84	331	27	1
85	377	27	1
86	393	27	1
87	507	27	1
88	521	27	1
89	525	27	1
90	535	27	1
91	565	27	1
92	570	27	1
93	617	27	1
94	618	27	1
95	625	27	1
96	651	27	1
97	663	27	1
98	672	27	1
99	159	32	1
100	194	33	1
101	464	34	1
102	503	34	1
103	79	35	1
104	430	35	1
105	538	35	1
106	509	40	1
107	659	40	1
108	623	41	1
109	32	44	1
110	83	44	1
111	177	44	1
112	371	44	1
113	429	46	1
114	530	46	1
115	622	46	1
116	27	49	1
117	62	49	1
118	84	49	1
119	175	49	1
120	195	49	1
121	253	49	1
122	293	49	1
123	303	49	1
124	433	49	1
125	542	49	1
126	547	49	1
127	553	49	1
128	562	49	1
129	576	49	1
130	585	49	1
131	12	50	1
132	25	50	1
133	49	50	1
134	65	50	1
135	94	50	1
136	102	50	1
137	121	50	1
138	131	50	1
139	147	50	1
140	161	50	1
141	176	50	1
142	202	50	1
143	226	50	1
144	229	50	1
145	244	50	1
146	272	50	1
147	331	50	1
148	374	50	1
149	377	50	1
150	378	50	1
151	393	50	1
152	432	50	1
153	507	50	1
154	521	50	1
155	525	50	1
156	535	50	1
157	565	50	1
158	567	50	1
159	570	50	1
160	617	50	1
161	622	50	1
162	625	50	1
163	663	50	1
164	672	50	1
165	678	50	1
166	194	52	1
167	129	59	1
168	347	61	1
169	565	61	1
170	695	61	1
171	350	63	1
172	10	65	1
173	655	65	1
174	670	65	1
175	123	68	1
176	141	68	1
177	190	68	1
178	261	68	1
179	301	68	1
180	364	68	1
181	586	68	1
182	588	68	1
183	596	68	1
184	662	68	1
185	13	72	1
186	44	72	1
187	111	72	1
188	145	72	1
189	184	72	1
190	307	72	1
191	311	72	1
192	389	72	1
193	397	72	1
194	424	72	1
195	524	72	1
196	608	72	1
197	669	72	1
198	673	72	1
199	117	73	1
200	123	74	1
201	154	74	1
202	204	74	1
203	310	74	1
204	588	74	1
205	662	74	1
206	385	75	1
207	1	76	1
208	385	79	1
209	478	79	1
210	227	82	1
211	660	82	1
212	32	83	1
213	177	83	1
214	371	83	1
215	49	84	1
216	51	84	1
217	59	84	1
218	102	84	1
219	149	84	1
220	330	84	1
221	372	84	1
222	478	84	1
223	589	84	1
224	598	84	1
225	617	84	1
226	625	84	1
227	121	85	1
228	142	86	1
229	638	86	1
230	84	89	1
231	433	89	1
232	334	90	1
233	676	90	1
234	288	91	1
235	497	95	1
236	555	95	1
237	562	95	1
238	414	96	1
239	694	96	1
